day,horizon,model,control_seed,latency,interpretation,blocks,adverse_before_fill,adverse_before_fill_defined_blocks,eligible_decisions,eligible_decisions_defined_blocks,eligible_decisions_total,excluded_invalid_placement,excluded_invalid_placement_defined_blocks,excluded_invalid_placement_total,fill_before_adverse,fill_before_adverse_defined_blocks,fill_probability,fill_probability_defined_blocks,fills,fills_defined_blocks,fills_total,markout_1,markout_1_defined_blocks,markout_10,markout_10_defined_blocks,markout_10_observations,markout_10_observations_defined_blocks,markout_10_observations_total,markout_1_observations,markout_1_observations_defined_blocks,markout_1_observations_total,markout_5,markout_5_defined_blocks,markout_5_observations,markout_5_observations_defined_blocks,markout_5_observations_total,markout_remaining,markout_remaining_defined_blocks,markout_remaining_observations,markout_remaining_observations_defined_blocks,markout_remaining_observations_total,mean_fill_time,mean_fill_time_defined_blocks,mean_queue_ahead,mean_queue_ahead_defined_blocks,median_fill_time,median_fill_time_defined_blocks,median_queue_ahead,median_queue_ahead_defined_blocks,no_event_fraction,no_event_fraction_defined_blocks,placed_orders,placed_orders_defined_blocks,placed_orders_total,queue_ahead_p10,queue_ahead_p10_defined_blocks,queue_ahead_p90,queue_ahead_p90_defined_blocks,simultaneous,simultaneous_defined_blocks,spread_1,spread_1_defined_blocks,spread_10,spread_10_defined_blocks,spread_10_observations,spread_10_observations_defined_blocks,spread_10_observations_total,spread_1_observations,spread_1_observations_defined_blocks,spread_1_observations_total,spread_5,spread_5_defined_blocks,spread_5_observations,spread_5_observations_defined_blocks,spread_5_observations_total,spread_remaining,spread_remaining_defined_blocks,spread_remaining_observations,spread_remaining_observations_defined_blocks,spread_remaining_observations_total,unfilled_fraction,unfilled_fraction_defined_blocks,zero_signal_decisions,zero_signal_decisions_defined_blocks,zero_signal_decisions_total
2017-12-27,10,xgboost,,5,reset,5,0.030553933737549388,5,33817.8,5,169089,0.0,5,0,0.0057737866425776165,5,0.0069213456779093855,5,215.8,5,1079,-0.06835136193535858,5,-0.21457038680771318,5,215.2,5,1076,215.8,5,1079,-0.1878249312025967,5,215.6,5,1078,0.11589710163773141,5,34.8,5,174,7.758030693634457,5,1753.6417701452417,5,8.0,5,1094.4,5,0.9634007028946823,5,33817.8,5,169089,329.2,5,5001.0,5,0.00027157672519086855,5,3.5694494336339466,5,3.277598421034835,5,215.2,5,1076,215.8,5,1079,3.3337528741617293,5,215.6,5,1078,3.1320020420757273,5,34.8,5,174,0.9930786543220906,5,0.0,5,0
2017-12-27,10,xgboost,,5,retain,5,0.030553933737549388,5,33817.8,5,169089,0.0,5,0,0.0057737866425776165,5,0.0069213456779093855,5,215.8,5,1079,-0.06835136193535858,5,-0.21457038680771318,5,215.2,5,1076,215.8,5,1079,-0.1878249312025967,5,215.6,5,1078,0.11589710163773141,5,34.8,5,174,7.758030693634457,5,1753.6417701452417,5,8.0,5,1094.4,5,0.9634007028946823,5,33817.8,5,169089,329.2,5,5001.0,5,0.00027157672519086855,5,3.5694494336339466,5,3.277598421034835,5,215.2,5,1076,215.8,5,1079,3.3337528741617293,5,215.6,5,1078,3.1320020420757273,5,34.8,5,174,0.9930786543220906,5,0.0,5,0
2017-12-27,20,linear,,0,reset,5,0.047535678998862047,5,33539.6,5,167698,0.0,5,0,0.01916719225850411,5,0.02229699773000584,5,636.4,5,3182,-0.2906175444998958,5,-0.45805149595202693,5,636.2,5,3181,636.4,5,3182,-0.3902785311332579,5,636.4,5,3182,-0.3324857963414837,5,636.4,5,3182,14.444180213446803,5,1846.5867308305037,5,14.8,5,1171.6,5,0.9324625411301583,5,33539.6,5,167698,414.8,5,5190.720000000002,5,0.000834587612475589,5,3.6041832538371983,5,3.2687945258499402,5,636.2,5,3181,636.4,5,3182,3.4048016073857648,5,636.4,5,3182,3.5204143139195323,5,636.4,5,3182,0.9777030022699942,5,0.0,5,0
2017-12-27,20,linear,,0,retain,5,0.047535678998862047,5,33539.6,5,167698,0.0,5,0,0.01916719225850411,5,0.02229699773000584,5,636.4,5,3182,-0.2906175444998958,5,-0.45805149595202693,5,636.2,5,3181,636.4,5,3182,-0.3902785311332579,5,636.4,5,3182,-0.3324857963414837,5,636.4,5,3182,14.444180213446803,5,1846.5867308305037,5,14.8,5,1171.6,5,0.9324625411301583,5,33539.6,5,167698,414.8,5,5190.720000000002,5,0.000834587612475589,5,3.6041832538371983,5,3.2687945258499402,5,636.2,5,3181,636.4,5,3182,3.4048016073857648,5,636.4,5,3182,3.5204143139195323,5,636.4,5,3182,0.9777030022699942,5,0.0,5,0
2017-12-27,20,linear,,1,reset,5,0.04998272131360183,5,33539.6,5,167698,0.0,5,0,0.020668256776821083,5,0.024235107172484626,5,697.8,5,3489,-0.2608098223948186,5,-0.44468486312434424,5,697.0,5,3485,697.8,5,3489,-0.38038016993648255,5,697.8,5,3489,-0.3207089520814148,5,636.6,5,3183,14.171547106013264,5,1824.8751570908335,5,14.6,5,1150.6,5,0.9284731551670925,5,33539.6,5,167698,393.2,5,5137.0,5,0.0008758667424846706,5,3.6509742832720513,5,3.2835938306814385,5,697.0,5,3485,697.8,5,3489,3.4117705906014146,5,697.8,5,3489,3.5648142437640677,5,636.6,5,3183,0.9757648928275154,5,0.0,5,0
2017-12-27,20,linear,,1,retain,5,0.04998272131360183,5,33539.6,5,167698,0.0,5,0,0.020668256776821083,5,0.024235107172484626,5,697.8,5,3489,-0.2608098223948186,5,-0.44468486312434424,5,697.0,5,3485,697.8,5,3489,-0.38038016993648255,5,697.8,5,3489,-0.3207089520814148,5,636.6,5,3183,14.171547106013264,5,1824.8751570908335,5,14.6,5,1150.6,5,0.9284731551670925,5,33539.6,5,167698,393.2,5,5137.0,5,0.0008758667424846706,5,3.6509742832720513,5,3.2835938306814385,5,697.0,5,3485,697.8,5,3489,3.4117705906014146,5,697.8,5,3489,3.5648142437640677,5,636.6,5,3183,0.9757648928275154,5,0.0,5,0
2017-12-27,20,linear,,5,reset,5,0.0569486770592197,5,33539.6,5,167698,0.0,5,0,0.024402963326591486,5,0.028807339406760966,5,835.8,5,4179,-0.2683585394141714,5,-0.44392087401117647,5,834.4,5,4172,835.8,5,4179,-0.39691139403433656,5,835.8,5,4179,-0.28597020323004896,5,505.4,5,2527,13.765812907108089,5,1760.7311175273342,5,14.4,5,1103.1,5,0.9175408747825775,5,33539.6,5,167698,329.4,5,5008.320000000001,5,0.0011074848316112442,5,3.465135270391504,5,3.11382457957639,5,834.4,5,4172,835.8,5,4179,3.2079158295545427,5,835.8,5,4179,3.5991547134401367,5,505.4,5,2527,0.971192660593239,5,0.0,5,0
2017-12-27,20,linear,,5,retain,5,0.0569486770592197,5,33539.6,5,167698,0.0,5,0,0.024402963326591486,5,0.028807339406760966,5,835.8,5,4179,-0.2683585394141714,5,-0.44392087401117647,5,834.4,5,4172,835.8,5,4179,-0.39691139403433656,5,835.8,5,4179,-0.28597020323004896,5,505.4,5,2527,13.765812907108089,5,1760.7311175273342,5,14.4,5,1103.1,5,0.9175408747825775,5,33539.6,5,167698,329.4,5,5008.320000000001,5,0.0011074848316112442,5,3.465135270391504,5,3.11382457957639,5,834.4,5,4172,835.8,5,4179,3.2079158295545427,5,835.8,5,4179,3.5991547134401367,5,505.4,5,2527,0.971192660593239,5,0.0,5,0
2017-12-27,20,xgboost,7.0,0,reset,5,0.07505964882621198,5,33539.6,5,167698,0.0,5,0,0.03454343573434821,5,0.04164576671480361,5,1258.2,5,6291,-0.22609504919548734,5,-0.4198774425091343,5,1255.8,5,6279,1258.2,5,6291,-0.4214227119453723,5,1258.2,5,6291,-0.3560662447274667,5,1258.2,5,6291,13.680832026342486,5,1129.7089598200964,5,14.2,5,747.8,5,0.8882933727814812,5,33539.6,5,167698,151.4,5,2307.4,5,0.0021035426579585938,5,3.145510330517075,5,2.7586312859946807,5,1255.8,5,6279,1258.2,5,6291,2.75485779532694,5,1258.2,5,6291,2.885549490181483,5,1258.2,5,6291,0.9583542332851964,5,0.0,5,0
2017-12-27,20,xgboost,7.0,0,retain,5,0.07505964882621198,5,33539.6,5,167698,0.0,5,0,0.03454343573434821,5,0.04164576671480361,5,1258.2,5,6291,-0.22609504919548734,5,-0.4198774425091343,5,1255.8,5,6279,1258.2,5,6291,-0.4214227119453723,5,1258.2,5,6291,-0.3560662447274667,5,1258.2,5,6291,13.680832026342486,5,1129.7089598200964,5,14.2,5,747.8,5,0.8882933727814812,5,33539.6,5,167698,151.4,5,2307.4,5,0.0021035426579585938,5,3.145510330517075,5,2.7586312859946807,5,1255.8,5,6279,1258.2,5,6291,2.75485779532694,5,1258.2,5,6291,2.885549490181483,5,1258.2,5,6291,0.9583542332851964,5,0.0,5,0
