symbol,horizon,model,control_seed,bin,day,latency,long_crossed_bps,prediction_bps,rows,short_crossed_bps
KGHM,10,linear,,6.0,2017-12-27,1,-8.535806067087112,0.15252004943509984,1789,-8.629165121208308
KGHM,10,linear,,7.0,2017-12-27,1,-7.354344445883481,0.2632472377520864,1761,-7.998759313910544
KGHM,10,linear,,8.0,2017-12-27,1,-7.637709618303074,0.38349563624523847,1721,-8.380822458294158
KGHM,10,linear,,9.0,2017-12-27,1,-7.209157363453221,0.5000097803794382,2494,-7.983200637364969
KGHM,10,linear,,10.0,2017-12-27,1,-5.274379545360734,0.6476179895495096,3035,-6.297744665606792
KGHM,10,linear,,1.0,2017-12-28,1,-7.290712707213702,-0.5890938702608889,2756,-5.892739835666077
KGHM,10,linear,,2.0,2017-12-28,1,-9.30955612596066,-0.40002550601255527,2819,-8.202860506871534
KGHM,10,linear,,3.0,2017-12-28,1,-9.298719818500187,-0.24911975333425032,3166,-8.618769354852613
KGHM,10,linear,,4.0,2017-12-28,1,-10.535103213858866,-0.10533187269947614,3303,-9.799998967701328
KGHM,10,linear,,5.0,2017-12-28,1,-11.153256201058642,0.032615531170493324,3042,-10.940310658206236
KGHM,10,linear,,6.0,2017-12-28,1,-9.708854887468437,0.14860692760852176,3848,-9.485140866010784
KGHM,10,linear,,7.0,2017-12-28,1,-10.264882162623866,0.2626236471529114,3899,-10.464481147801056
KGHM,10,linear,,8.0,2017-12-28,1,-9.659063627949822,0.37604412435876317,3908,-10.42834108559261
KGHM,10,linear,,9.0,2017-12-28,1,-7.851667303649802,0.5012304650536645,4012,-8.603185463335157
KGHM,10,linear,,10.0,2017-12-28,1,-5.880747574624115,0.6544740282897388,4332,-7.195876741465318
KGHM,10,linear,,1.0,2017-12-29,1,-7.240468325502269,-0.6031701864297533,2581,-6.0633792985104025
KGHM,10,linear,,2.0,2017-12-29,1,-9.565868754498545,-0.3979433885942605,3357,-8.86014980307419
KGHM,10,linear,,3.0,2017-12-29,1,-11.014534608698474,-0.2557378574094689,3687,-10.40853849320757
KGHM,10,linear,,4.0,2017-12-29,1,-12.047107469631214,-0.1045847242352322,3501,-11.443743513913972
KGHM,10,linear,,5.0,2017-12-29,1,-13.926405657025215,0.03057591851432801,3786,-13.8500141408905
KGHM,10,linear,,6.0,2017-12-29,1,-12.37580029362489,0.1512540672993318,3082,-12.478443799110769
KGHM,10,linear,,7.0,2017-12-29,1,-11.523662289116206,0.26180105358152944,3052,-12.010801327812196
KGHM,10,linear,,8.0,2017-12-29,1,-9.659821381438542,0.37633728369180003,3087,-10.213931329539667
KGHM,10,linear,,9.0,2017-12-29,1,-8.048963545765663,0.4960398977905856,2213,-9.563919762887595
KGHM,10,linear,,10.0,2017-12-29,1,-5.496385060053111,0.6415769199246687,1348,-6.904605381276683
KGHM,10,linear,,1.0,all,5,-6.948424711378876,-0.6003665522564912,8718,-6.133046890829387
KGHM,10,linear,,2.0,all,5,-8.880709626465707,-0.3989037339914297,8716,-8.30104063549612
KGHM,10,linear,,3.0,all,5,-9.598369585372438,-0.25214771243793677,8717,-9.302665723162717
KGHM,10,linear,,4.0,all,5,-10.36392251075481,-0.10522480141946253,8716,-9.858596803452247
KGHM,10,linear,,5.0,all,5,-11.594564047422493,0.03075553244922619,8720,-11.513756802449628
KGHM,10,linear,,6.0,all,5,-10.280581664404682,0.15034555124366622,8719,-10.219493941679712
KGHM,10,linear,,7.0,all,5,-10.066909830215394,0.2624615245020034,8712,-10.331078484109067
KGHM,10,linear,,8.0,all,5,-9.307472486785075,0.37761927750443874,8716,-9.873403656676608
KGHM,10,linear,,9.0,all,5,-7.958337265813865,0.49956386189611035,8719,-8.606207800550326
KGHM,10,linear,,10.0,all,5,-6.090695091585911,0.6500915406646429,8715,-6.933155654702631
KGHM,10,linear,,1.0,2017-12-27,5,-6.405307020711794,-0.6074151567458995,3381,-5.626712938182285
KGHM,10,linear,,2.0,2017-12-27,5,-7.568812432608864,-0.39892798760195886,2540,-7.287897110003432
KGHM,10,linear,,3.0,2017-12-27,5,-8.055422330920901,-0.2501893723157439,1864,-7.919291860618672
KGHM,10,linear,,4.0,2017-12-27,5,-7.872845761026086,-0.1062118588379277,1912,-7.280341434778289
KGHM,10,linear,,5.0,2017-12-27,5,-8.267849317488693,0.028124402558861457,1892,-8.610934289278756
KGHM,10,linear,,6.0,2017-12-27,5,-8.40055766656043,0.15252004943509984,1789,-8.526434554107194
KGHM,10,linear,,7.0,2017-12-27,5,-7.4480463539137185,0.2632472377520864,1761,-7.9324555103260375
