symbol,horizon,model,control_seed,bottom_decile_short_bps,coverage,day,decile_bins,excluded_crossing_common,latency,ordered_deciles,prediction_rows,rows,selected_rows,sign_selected_bps,threshold_bps,top_decile_long_bps
PEKAO,20,xgboost,,-5.761742284476149,0.16843330678267263,2017-12-28,10,5,5,0.0,16326,16321,2749,-5.680764269362188,1.0,-6.04623617774098
PEKAO,20,xgboost,,-6.192638722654181,0.0728486988562217,2017-12-29,10,5,5,0.0,13032,13027,949,-5.303825955605962,1.0,-5.7511336087099405
PEKAO,50,linear,,-5.166573243049626,0.3186602870813397,all,10,15,0,0.0,42860,42845,13653,-5.899523612182713,1.0,-5.261889925727741
PEKAO,50,linear,,-4.828318583157691,0.3630596739691672,2017-12-27,10,5,0,0.0,13562,13557,4922,-5.037062488436928,1.0,-3.8742845423780374
PEKAO,50,linear,,-5.41725193812992,0.33454054385857224,2017-12-28,10,5,0,0.0,16296,16291,5450,-6.148828065738709,1.0,-5.864083497432758
PEKAO,50,linear,,-5.251545036984009,0.2524428714318689,2017-12-29,10,5,0,0.0,13002,12997,3281,-6.779232353175272,1.0,-6.445071813620198
PEKAO,50,linear,,-5.357958105135369,0.3186602870813397,all,10,15,1,0.0,42860,42845,13653,-6.053197422059694,1.0,-5.464741511003258
PEKAO,50,linear,,-5.011425913832876,0.3630596739691672,2017-12-27,10,5,1,0.0,13562,13557,4922,-5.205355366200879,1.0,-4.140266580817378
PEKAO,50,linear,,-5.645527971486627,0.33454054385857224,2017-12-28,10,5,1,0.0,16296,16291,5450,-6.311699139876686,1.0,-6.042377386888695
PEKAO,50,linear,,-5.377490040656639,0.2524428714318689,2017-12-29,10,5,1,0.0,13002,12997,3281,-6.895697951421009,1.0,-6.589477168010889
PEKAO,50,linear,,-5.5510083122149965,0.3186602870813397,all,10,15,5,0.0,42860,42845,13653,-6.333790460185303,1.0,-5.914589313480003
PEKAO,50,linear,,-5.263743067533382,0.3630596739691672,2017-12-27,10,5,5,0.0,13562,13557,4922,-5.54286249748741,1.0,-4.788259151537734
PEKAO,50,linear,,-5.768072698736611,0.33454054385857224,2017-12-28,10,5,5,0.0,16296,16291,5450,-6.547578997052951,1.0,-6.3297414192937405
PEKAO,50,linear,,-5.614008911400943,0.2524428714318689,2017-12-29,10,5,5,0.0,13002,12997,3281,-7.165183299706896,1.0,-6.994718664572603
PEKAO,50,xgboost,,-5.845125346551891,0.30096860777220213,all,10,15,0,0.0,42860,42845,12895,-6.105331291033697,1.0,-5.389028316121944
PEKAO,50,xgboost,,-5.682410225364841,0.3280224238400826,2017-12-27,10,5,0,0.0,13562,13557,4447,-5.247426861314543,1.0,-4.187338319297796
PEKAO,50,xgboost,,-5.998371756727453,0.3217113743784912,2017-12-28,10,5,0,0.0,16296,16291,5241,-6.231658409102898,1.0,-6.111257121631027
PEKAO,50,xgboost,,-5.669156052572592,0.24674924982688312,2017-12-29,10,5,0,0.0,13002,12997,3207,-7.088499539602576,1.0,-6.038457976378096
PEKAO,50,xgboost,,-6.039791313336071,0.30096860777220213,all,10,15,1,0.0,42860,42845,12895,-6.257813582320361,1.0,-5.613249146011819
PEKAO,50,xgboost,,-5.866539338791972,0.3280224238400826,2017-12-27,10,5,1,0.0,13562,13557,4447,-5.418680629702803,1.0,-4.468567929209254
PEKAO,50,xgboost,,-6.193789768779982,0.3217113743784912,2017-12-28,10,5,1,0.0,16296,16291,5241,-6.375673458630522,1.0,-6.293857224032111
PEKAO,50,xgboost,,-5.879941816819179,0.24674924982688312,2017-12-29,10,5,1,0.0,13002,12997,3207,-7.228789768334931,1.0,-6.242570015227927
PEKAO,50,xgboost,,-6.250673654006075,0.30096860777220213,all,10,15,5,0.0,42860,42845,12895,-6.5278602220295685,1.0,-6.095634250237223
PEKAO,50,xgboost,,-6.13558617390414,0.3280224238400826,2017-12-27,10,5,5,0.0,13562,13557,4447,-5.755230184173496,1.0,-5.136880464641185
PEKAO,50,xgboost,,-6.368921516433123,0.3217113743784912,2017-12-28,10,5,5,0.0,16296,16291,5241,-6.61077723417168,1.0,-6.62585737682332
PEKAO,50,xgboost,,-6.096638929476431,0.24674924982688312,2017-12-29,10,5,5,0.0,13002,12997,3207,-7.463724805038343,1.0,-6.680669184592657
PKNORLEN,10,linear,,-7.608154718335292,2.0380088653385642e-05,all,10,15,0,0.0,98150,98135,2,-4.456540611343181,1.0,-7.147001246600657
PKNORLEN,10,linear,,-6.3151657142821085,3.3840947546531304e-05,2017-12-27,10,5,0,0.0,29555,29550,1,-4.425757911042014,1.0,-6.765556467214911
PKNORLEN,10,linear,,-8.380963728428986,3.6260787584306334e-05,2017-12-28,10,5,0,0.0,27583,27578,1,-4.4873233116443485,1.0,-7.3271798753909
PKNORLEN,10,linear,,-7.702322615083813,0.0,2017-12-29,10,5,0,0.0,41012,41007,0,,1.0,-7.488795478552952
PKNORLEN,10,linear,,-7.8103124973426485,2.0380088653385642e-05,all,10,15,1,0.0,98150,98135,2,-20.082584871376667,1.0,-7.366942276180095
PKNORLEN,10,linear,,-6.42323580315432,3.3840947546531304e-05,2017-12-27,10,5,1,0.0,29555,29550,1,-13.271400132713246,1.0,-6.978582341162026
