day,horizon,model,control_seed,latency,blocks,bottom_decile_short_bps,bottom_decile_short_bps_defined_blocks,coverage,coverage_defined_blocks,decile_bins,decile_bins_defined_blocks,excluded_crossing_common,excluded_crossing_common_defined_blocks,excluded_crossing_common_total,ordered_deciles,ordered_deciles_defined_blocks,prediction_rows,prediction_rows_defined_blocks,prediction_rows_total,rows,rows_defined_blocks,rows_total,selected_rows,selected_rows_defined_blocks,selected_rows_total,sign_selected_bps,sign_selected_bps_defined_blocks,threshold_bps,threshold_bps_defined_blocks,top_decile_long_bps,top_decile_long_bps_defined_blocks
2017-12-29,50,linear,,0,5,-5.722146811973007,5,0.2318241439164325,5,10.0,5,5.0,5,25,0.0,5,32769.0,5,163845,32764.0,5,163820,7492.2,5,37461,-6.276622618037154,5,1.0,5,-6.2393887999088715,5
2017-12-29,50,linear,,1,5,-5.873653464468104,5,0.2318241439164325,5,10.0,5,5.0,5,25,0.0,5,32769.0,5,163845,32764.0,5,163820,7492.2,5,37461,-6.457299209616866,5,1.0,5,-6.458539169592347,5
2017-12-29,50,linear,,5,5,-6.159457276255576,5,0.2318241439164325,5,10.0,5,5.0,5,25,0.0,5,32769.0,5,163845,32764.0,5,163820,7492.2,5,37461,-6.783858161855228,5,1.0,5,-6.857194871043143,5
2017-12-29,50,xgboost,,0,5,-6.149144799522137,5,0.24697106069799143,5,10.0,5,5.0,5,25,0.0,5,32769.0,5,163845,32764.0,5,163820,8077.4,5,40387,-6.950023869260809,5,1.0,5,-6.638678731598359,5
2017-12-29,50,xgboost,,1,5,-6.320142132529228,5,0.24697106069799143,5,10.0,5,5.0,5,25,0.0,5,32769.0,5,163845,32764.0,5,163820,8077.4,5,40387,-7.113764405232823,5,1.0,5,-6.837857820013267,5
2017-12-29,50,xgboost,,5,5,-6.6345217418248925,5,0.24697106069799143,5,10.0,5,5.0,5,25,0.0,5,32769.0,5,163845,32764.0,5,163820,8077.4,5,40387,-7.42824689828902,5,1.0,5,-7.215683709859727,5
all,10,linear,,0,5,-5.444192739546405,5,0.00019996345619402445,5,10.0,5,153.0,5,765,0.0,5,96959.6,5,484798,96806.6,5,484033,11.8,5,59,,4,1.0,5,-5.353028076666985,5
all,10,linear,,1,5,-5.627251960755884,5,0.00019996345619402445,5,10.0,5,153.0,5,765,0.0,5,96959.6,5,484798,96806.6,5,484033,11.8,5,59,,4,1.0,5,-5.561417200274633,5
all,10,linear,,5,5,-5.911142840537227,5,0.00019996345619402445,5,10.0,5,153.0,5,765,0.0,5,96959.6,5,484798,96806.6,5,484033,11.8,5,59,,4,1.0,5,-5.9348176353706865,5
all,10,xgboost,,0,5,-5.623874128592279,5,0.022500477968246637,5,10.0,5,153.0,5,765,0.0,5,96959.6,5,484798,96806.6,5,484033,1738.4,5,8692,-4.3826194241213505,5,1.0,5,-5.676888384763718,5
all,10,xgboost,,1,5,-5.816746889096789,5,0.022500477968246637,5,10.0,5,153.0,5,765,0.0,5,96959.6,5,484798,96806.6,5,484033,1738.4,5,8692,-5.17689768402626,5,1.0,5,-5.890043896515123,5
all,10,xgboost,,5,5,-6.146206930867386,5,0.022500477968246637,5,10.0,5,153.0,5,765,0.0,5,96959.6,5,484798,96806.6,5,484033,1738.4,5,8692,-5.666953779995426,5,1.0,5,-6.315554499026504,5
all,20,linear,,0,5,-5.403407565265859,5,0.039096892562295454,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,2544.2,5,12721,-4.293353208588194,5,1.0,5,-5.361908048520635,5
all,20,linear,,1,5,-5.58342852282949,5,0.039096892562295454,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,2544.2,5,12721,-6.184914249827239,5,1.0,5,-5.574955838888412,5
all,20,linear,,5,5,-5.881590449734083,5,0.039096892562295454,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,2544.2,5,12721,-6.43777180505154,5,1.0,5,-5.964396774957647,5
all,20,xgboost,7.0,0,5,-10.868897346102296,5,0.0,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,0.0,5,0,,0,1.0,5,-8.111935766604338,5
all,20,xgboost,7.0,1,5,-10.868441364186348,5,0.0,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,0.0,5,0,,0,1.0,5,-8.165612176543311,5
all,20,xgboost,7.0,5,5,-10.811801795031464,5,0.0,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,0.0,5,0,,0,1.0,5,-8.273167158582922,5
all,20,xgboost,,0,5,-5.511703069134368,5,0.08430725482139417,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,6735.4,5,33677,-4.519463311640908,5,1.0,5,-5.655822573825979,5
all,20,xgboost,,1,5,-5.701655855307252,5,0.08430725482139417,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,6735.4,5,33677,-4.926715813837055,5,1.0,5,-5.870529697053949,5
all,20,xgboost,,5,5,-6.03087351828185,5,0.08430725482139417,5,10.0,5,137.4,5,687,0.0,5,96661.4,5,483307,96524.0,5,482620,6735.4,5,33677,-5.427258942907019,5,1.0,5,-6.290972861659266,5
all,50,linear,,0,5,-5.432225247044341,5,0.24786152410651469,5,10.0,5,106.4,5,532,0.0,5,95916.4,5,479582,95810.0,5,479050,21024.4,5,105122,-5.7416963472601905,5,1.0,5,-5.6406056964338775,5
all,50,linear,,1,5,-5.599314959827334,5,0.24786152410651469,5,10.0,5,106.4,5,532,0.0,5,95916.4,5,479582,95810.0,5,479050,21024.4,5,105122,-5.921289405247618,5,1.0,5,-5.844541898537147,5
all,50,linear,,5,5,-5.891526133263959,5,0.24786152410651469,5,10.0,5,106.4,5,532,0.0,5,95916.4,5,479582,95810.0,5,479050,21024.4,5,105122,-6.2514751544635665,5,1.0,5,-6.239454282589634,5
all,50,xgboost,,0,5,-5.754429462987757,5,0.25828502430531647,5,10.0,5,106.4,5,532,0.0,5,95916.4,5,479582,95810.0,5,479050,22533.0,5,112665,-6.259268145071926,5,1.0,5,-6.115007701291716,5
all,50,xgboost,,1,5,-5.93053258890148,5,0.25828502430531647,5,10.0,5,106.4,5,532,0.0,5,95916.4,5,479582,95810.0,5,479050,22533.0,5,112665,-6.426427271723173,5,1.0,5,-6.303471390494629,5
all,50,xgboost,,5,5,-6.243179979035617,5,0.25828502430531647,5,10.0,5,106.4,5,532,0.0,5,95916.4,5,479582,95810.0,5,479050,22533.0,5,112665,-6.743721911061587,5,1.0,5,-6.681072779340132,5
