symbol,horizon,model,control_seed,adverse_before_fill,day,eligible_decisions,excluded_invalid_placement,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,xgboost,,0.02592248488810892,all,87183,0,0.003418097564892238,0.004312767397313696,376,reset,1,0.2372728893228004,-0.13555132524830607,376,376,0.09519316257716993,376,0.29966038760994324,297,7.545212765957447,1617.1882477088423,8.0,779.0,0.9706250071688288,87183,200.0,2778.0,3.4410378170056086e-05,4.929392712631744,4.183597563674893,376,376,4.6451895965653875,376,4.994459278684481,297,0.9956872326026863,0
KGHM,10,xgboost,,0.017415379119406982,2017-12-27,22394,0,0.002098776457979816,0.0026346342770384923,59,reset,1,0.1519770802640875,0.33851261388748566,59,59,-0.0006174441112734735,59,0.050552292313002,44,7.898305084745763,3117.60721621863,8.0,1091.0,0.9804411896043583,22394,323.0,14067.0,4.4654818254889704e-05,1.964495550045618,2.3377744425438483,59,59,1.6595971323434127,59,1.5181136884318092,44,0.9973653657229615,0
KGHM,10,xgboost,,0.022827016243944145,2017-12-28,35090,0,0.003505272157309775,0.004588201766885153,161,reset,1,-0.01381766145962143,-0.6753854429033062,161,161,-0.17968452350950156,161,0.2078413992686288,128,7.366459627329193,1143.6245369051012,8.0,705.0,0.9736107153035053,35090,200.0,2147.0,5.699629524080935e-05,3.0614852529589403,1.738355798088505,161,161,2.7296231436826086,161,3.399385620554368,128,0.9954117982331149,0
KGHM,10,xgboost,,0.03599447792854978,2017-12-29,29699,0,0.004309909424559749,0.005252702111182195,156,reset,1,0.528670526569172,0.2422917550942793,156,156,0.41511709369622296,156,0.48136908121597266,125,7.596153846153846,1045.3497424155696,8.0,653.0,0.9596956126468905,29699,149.0,2078.0,0.0,7.978508312631121,7.405312232945023,156,156,7.751318790816824,156,7.8514883523786585,125,0.9947472978888178,0
KGHM,10,xgboost,,0.032036062076322216,all,87183,0,0.004599520548730831,0.005930055171306333,517,reset,5,0.1815887494828437,-0.2524268073548435,517,517,0.04864254223954084,517,0.4831271317746356,92,7.615087040618955,1557.4756546574447,8.0,742.0,0.9632726563664935,87183,160.0,2625.0,9.17610084534829e-05,4.265822620928703,3.397587190625907,517,517,3.9997988093428467,517,4.408041350325441,92,0.9940699448286937,0
KGHM,10,xgboost,,0.021478967580601947,2017-12-27,22394,0,0.0030365276413325,0.004286862552469411,96,reset,5,0.2571552343233828,0.4658027209079488,96,96,0.4202163278170805,96,0.0,11,7.927083333333333,3025.0797981602213,8.0,1055.0,0.975305885505046,22394,262.0,13567.0,0.00017861927301955882,1.57846414390826,1.9957408062379045,96,96,1.9045874295856768,96,1.6188775770017394,11,0.9957131374475305,0
KGHM,10,xgboost,,0.02901111427757196,2017-12-28,35090,0,0.004987175833570818,0.006469079509831861,227,reset,5,-0.05858938506360037,-0.8796221225284003,227,227,-0.332615591606971,227,0.5680296765071057,43,7.546255506607929,1093.7514961527502,8.0,671.0,0.9658877172983756,35090,164.0,2069.0,0.0001139925904816187,2.523503966438342,0.8812953467214018,227,227,1.975239018004846,227,2.170224014235296,43,0.9935309204901681,0
KGHM,10,xgboost,,0.04357049058890872,2017-12-29,29699,0,0.005320044445940941,0.00653220647159837,194,reset,5,0.4252282030774367,0.1260438206408748,194,194,0.31088229980507887,194,0.526905790354235,38,7.541237113402062,998.7549412438129,8.0,617.0,0.9511094649651504,29699,120.0,2021.0,0.0,7.634341942388878,7.035605239427821,194,194,7.405548113932611,194,7.7476978492316775,38,0.9934677935284016,0
KGHM,20,linear,,0.051966082636283314,all,87153,0,0.01644234851353367,0.01962066710268149,1710,retain,0,-0.3016979995164808,-0.7254960734095292,1710,1710,-0.44690759611971415,1710,-0.4887034592972412,1710,14.304093567251462,1644.388764586417,15.0,795.0,0.9310522873567175,87153,210.0,2861.800000000003,0.0005392814934655147,3.6020807892117936,2.754340858477802,1710,1710,3.3117017597874936,1710,3.2280450214632386,1710,0.9803793328973185,0
KGHM,20,linear,,0.03493566833452466,2017-12-27,22384,0,0.01277698355968549,0.01478734810578985,331,retain,0,-0.49894589874681106,-0.3458982296886575,331,331,-0.405244670877201,331,-0.34468401898846407,331,14.76737160120846,3159.4769478198714,15.0,1126.0,0.9522873481057899,22384,336.0,14279.800000000003,0.0,2.2238180182961935,2.52996260696979,331,331,2.411395578011565,331,2.5325101422356346,331,0.9852126518942101,0
KGHM,20,linear,,0.04831812998859749,2017-12-28,35080,0,0.015108323831242873,0.01904218928164196,668,retain,0,-0.34543093962879456,-1.1063240350732146,668,668,-0.5948677837232541,668,-0.6943928645548313,668,14.088323353293413,1165.8430729760548,15.0,717.0,0.9357753705815279,35080,217.0,2167.0,0.0007981755986316989,2.3478402274666306,0.825960741763861,668,668,1.8490390235784901,668,1.6499076277717544,668,0.9809578107183581,0
KGHM,20,linear,,0.06911650779750075,2017-12-29,29689,0,0.020782107851392773,0.023948263666677894,711,retain,0,-0.1687828678142797,-0.5444184473620842,711,711,-0.327291594623381,711,-0.3625008039247166,711,14.291139240506329,1067.5302974165515,15.0,666.0,0.9094614166863149,29689,160.0,2119.0,0.0006399676647916737,5.422105644934484,4.670553403082676,711,711,5.105035169007532,711,5.034539851294811,711,0.9760517363333221,0
KGHM,20,linear,,0.05426089750209402,all,87153,0,0.017624178169426182,0.021192615285761822,1847,retain,1,-0.2648319878712316,-0.7138532013707353,1847,1847,-0.40663204488872673,1847,-0.43572002664505066,1673,14.080129940443964,1622.994733399883,15.0,785.0,0.9275412206120272,87153,200.0,2807.0,0.0005737037164526751,3.612175490326103,2.7139837867076095,1847,1847,3.3286253475050627,1847,3.240588805488282,1673,0.9788073847142382,0
KGHM,20,linear,,0.036409935668334524,2017-12-27,22384,0,0.013715153681200857,0.016038241601143675,359,retain,1,-0.4537283739468638,-0.3124389649829963,359,359,-0.3920582082684414,359,-0.29934143843641287,321,14.662952646239555,3127.0935489635453,15.0,1102.0,0.9498749106504646,22384,323.0,14067.0,0.0,2.249180605813244,2.531812906045495,359,359,2.37269042122469,359,2.5146754004681666,321,0.9839617583988564,0
KGHM,20,linear,,0.05119726339794755,2017-12-28,35080,0,0.016505131128848348,0.021009122006841505,737,retain,1,-0.2979237019182793,-1.04477686615818,737,737,-0.47583214113275263,737,-0.5919363134283355,671,13.738127544097694,1147.2519099201825,14.0,707.0,0.931442417331813,35080,200.0,2133.0,0.0008551881413911061,2.3688056735686147,0.8750122732258503,737,737,2.0130893684577793,737,1.715029050205002,671,0.9789908779931585,0
KGHM,20,linear,,0.071339553369935,2017-12-29,29689,0,0.02189363063760989,0.025295564013607733,751,retain,1,-0.14205915717372672,-0.5809863171028945,751,751,-0.34568868458890684,751,-0.3460818451228606,681,14.137150466045274,1051.1098723432922,15.0,653.0,0.9060931658189901,29689,150.0,2111.0,0.0006736501734649197,5.4839181248006525,4.605756558470267,751,751,5.076602251756065,751,5.085917438097003,681,0.9747044359863922,0
KGHM,20,linear,,0.06119123839684233,all,87153,0,0.01946003006207474,0.023797230158456965,2074,retain,5,-0.2625788783202598,-0.7085449310101148,2074,2074,-0.42209952749752777,2074,-0.24057047631433331,1255,13.64946962391514,1563.0409853935034,14.0,746.0,0.9185914426353654,87153,159.0,2675.0,0.0007572889057175312,3.418439718626563,2.5263449368303115,2074,2074,3.0994018925271773,2074,3.2281018044392025,1255,0.9762027698415431,0
