symbol,day,horizon,model,control_seed,latency,interpretation,tail_bin,bins_available,fill_probability_tail_minus_center,markout_5_tail_minus_center
KGHM,2017-12-29,10,xgboost,,0,retain,10,10,-0.002497036590313351,1.703485287683681
KGHM,2017-12-29,10,xgboost,,1,reset,1,10,-0.0019828445444734564,0.3432448689531097
KGHM,2017-12-29,10,xgboost,,1,reset,10,10,-0.0023911385778067444,-2.9877392030194416
KGHM,2017-12-29,10,xgboost,,1,retain,1,10,-0.0019828445444734564,0.3432448689531097
KGHM,2017-12-29,10,xgboost,,1,retain,10,10,-0.0023911385778067444,-2.9877392030194416
KGHM,2017-12-29,10,xgboost,,5,reset,1,10,-0.002774250646422603,-0.48601739948213024
KGHM,2017-12-29,10,xgboost,,5,reset,10,10,-0.002801440038209504,-0.360742585913827
KGHM,2017-12-29,10,xgboost,,5,retain,1,10,-0.002774250646422603,-0.48601739948213024
KGHM,2017-12-29,10,xgboost,,5,retain,10,10,-0.002801440038209504,-0.360742585913827
KGHM,2017-12-29,20,linear,,0,reset,1,10,-0.01598900276176886,-1.1615284582614636
KGHM,2017-12-29,20,linear,,0,reset,10,10,-0.02157672031104258,-8.896533530600209
KGHM,2017-12-29,20,linear,,0,retain,1,10,-0.01598900276176886,-1.1615284582614636
KGHM,2017-12-29,20,linear,,0,retain,10,10,-0.02157672031104258,-8.896533530600209
KGHM,2017-12-29,20,linear,,1,reset,1,10,-0.01746849893983722,-0.9799778934043295
KGHM,2017-12-29,20,linear,,1,reset,10,10,-0.021507029812116364,-8.159867851409896
KGHM,2017-12-29,20,linear,,1,retain,1,10,-0.01746849893983722,-0.9799778934043295
KGHM,2017-12-29,20,linear,,1,retain,10,10,-0.021507029812116364,-8.159867851409896
KGHM,2017-12-29,20,linear,,5,reset,1,10,-0.021434238277539902,-0.454033372376194
KGHM,2017-12-29,20,linear,,5,reset,10,10,-0.015038696923842469,-4.660994324149888
KGHM,2017-12-29,20,linear,,5,retain,1,10,-0.021434238277539902,-0.454033372376194
KGHM,2017-12-29,20,linear,,5,retain,10,10,-0.015038696923842469,-4.660994324149888
KGHM,2017-12-29,20,xgboost,7.0,0,reset,1,10,-0.01870422400257162,1.3319766451531931
KGHM,2017-12-29,20,xgboost,7.0,0,reset,10,10,-0.03351971764871042,-2.4669256500484447
KGHM,2017-12-29,20,xgboost,7.0,0,retain,1,10,-0.01870422400257162,1.3319766451531931
KGHM,2017-12-29,20,xgboost,7.0,0,retain,10,10,-0.03351971764871042,-2.4669256500484447
KGHM,2017-12-29,20,xgboost,7.0,1,reset,1,10,-0.0198988701272208,1.1740405569056311
KGHM,2017-12-29,20,xgboost,7.0,1,reset,10,10,-0.03280056856319343,-2.234519313254151
KGHM,2017-12-29,20,xgboost,7.0,1,retain,1,10,-0.0198988701272208,1.1740405569056311
KGHM,2017-12-29,20,xgboost,7.0,1,retain,10,10,-0.03280056856319343,-2.234519313254151
KGHM,2017-12-29,20,xgboost,7.0,5,reset,1,10,-0.024825558213716105,0.517795007784531
KGHM,2017-12-29,20,xgboost,7.0,5,reset,10,10,-0.02938832295793246,-2.0097043398777092
KGHM,2017-12-29,20,xgboost,7.0,5,retain,1,10,-0.024825558213716105,0.517795007784531
KGHM,2017-12-29,20,xgboost,7.0,5,retain,10,10,-0.02938832295793246,-2.0097043398777092
KGHM,2017-12-29,20,xgboost,,0,reset,1,10,-0.018104781406234983,-0.24195259377383105
KGHM,2017-12-29,20,xgboost,,0,reset,10,10,-0.01975237707428698,-5.6884641818092865
KGHM,2017-12-29,20,xgboost,,0,retain,1,10,-0.018104781406234983,-0.24195259377383105
KGHM,2017-12-29,20,xgboost,,0,retain,10,10,-0.01975237707428698,-5.6884641818092865
KGHM,2017-12-29,20,xgboost,,1,reset,1,10,-0.019047479108611154,-0.22249209941519865
KGHM,2017-12-29,20,xgboost,,1,reset,10,10,-0.02017317863452049,-5.7018712435033905
KGHM,2017-12-29,20,xgboost,,1,retain,1,10,-0.019047479108611154,-0.22249209941519865
KGHM,2017-12-29,20,xgboost,,1,retain,10,10,-0.02017317863452049,-5.7018712435033905
KGHM,2017-12-29,20,xgboost,,5,reset,1,10,-0.026772246810396368,0.6065189954424236
KGHM,2017-12-29,20,xgboost,,5,reset,10,10,-0.019589349252466026,-3.313052803601064
