breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
6.404963478185994,monthly,832293,,0.08594929910500268,-6.404963478185994,3.3880057028449273,3.758335104192925,0.7413773288518537,20,5,1.3482548411047901e-12,xgboost,2017-11,832293,71535,KGHM,,bp
4.809494275804933,monthly,579356,,0.08813924426432107,-4.809494275804933,2.5816793419318804,3.4505091331787243,1.222694199305632,20,0,2.171596236166806e-12,linear,2017-04,579356,51064,PEKAO,,bp
5.26469213521129,monthly,579356,,0.08813924426432107,-5.26469213521129,2.808272468223194,3.4504680581626355,0.9940483911745068,20,1,2.171596236166806e-12,linear,2017-04,579356,51064,PEKAO,,bp
5.869056463356226,monthly,579356,,0.08813924426432107,-5.869056463356226,3.041478252119563,3.4504086180392464,0.6228304068025585,20,5,2.171596236166806e-12,linear,2017-04,579356,51064,PEKAO,,bp
5.918667254274995,monthly,579356,,0.12819061164465373,-5.918667254274995,3.2921135331158062,3.882138825355505,1.2555851041963018,20,0,2.171596236166806e-12,xgboost,2017-04,579356,74268,PEKAO,,bp
6.319672203367658,monthly,579356,,0.12819061164465373,-6.319672203367658,3.4599307941172013,3.8821172587353816,1.0223758494849156,20,1,2.171596236166806e-12,xgboost,2017-04,579356,74268,PEKAO,,bp
6.898029649917279,monthly,579356,,0.12819061164465373,-6.898029649917279,3.6302293537471177,3.8820715647859503,0.614271268615781,20,5,2.171596236166806e-12,xgboost,2017-04,579356,74268,PEKAO,,bp
4.48282078471266,monthly,657478,,0.11302583508497623,-4.48282078471266,2.4629500637430843,3.249918111554731,1.230047390585165,20,0,2.220446049250313e-12,linear,2017-06,657478,74312,PEKAO,,bp
4.941900299732437,monthly,657478,,0.11302583508497623,-4.941900299732437,2.6930987999906684,3.2499135517368987,1.0011120519951355,20,1,2.220446049250313e-12,linear,2017-06,657478,74312,PEKAO,,bp
5.572631654368445,monthly,657478,,0.11302583508497623,-5.572631654368445,2.915850924746108,3.2499161407485873,0.5931354111262583,20,5,2.220446049250313e-12,linear,2017-06,657478,74312,PEKAO,,bp
5.291156073054656,monthly,657478,,0.14984075512792824,-5.291156073054656,2.9988759547875294,3.530013349571367,1.2377332313042366,20,0,2.220446049250313e-12,xgboost,2017-06,657478,98517,PEKAO,,bp
5.682195318636963,monthly,657478,,0.14984075512792824,-5.682195318636963,3.1674640313382794,3.529999255887786,1.015267968589101,20,1,2.220446049250313e-12,xgboost,2017-06,657478,98517,PEKAO,,bp
6.260734839268321,monthly,657478,,0.14984075512792824,-6.260734839268321,3.3169471275051015,3.529978634355104,0.5861909225918892,20,5,2.220446049250313e-12,xgboost,2017-06,657478,98517,PEKAO,,bp
,monthly,657478,7.0,0.0,,,,,20,0,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,7.0,0.0,,,,,20,1,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,7.0,0.0,,,,,20,5,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,17.0,0.0,,,,,20,0,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,17.0,0.0,,,,,20,1,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,17.0,0.0,,,,,20,5,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,29.0,0.0,,,,,20,0,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,29.0,0.0,,,,,20,1,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
,monthly,657478,29.0,0.0,,,,,20,5,2.220446049250313e-12,xgboost,2017-06,657478,0,PEKAO,no_threshold_selected_rows,bp
4.5650321204514075,monthly,403901,,0.08784330813739011,-4.5650321204514075,2.4751816395105353,3.384488462090871,1.2946379811499786,20,0,2.220446049250313e-12,linear,2017-09,403901,35480,PEKAO,,bp
4.989333159283873,monthly,403901,,0.08784330813739011,-4.989333159283873,2.6847652338179833,3.3844869210659607,1.0799189956000552,20,1,2.220446049250313e-12,linear,2017-09,403901,35480,PEKAO,,bp
5.650046018772322,monthly,403901,,0.08784330813739011,-5.650046018772322,2.939670852130403,3.3844703080385,0.6740951413965703,20,5,2.220446049250313e-12,linear,2017-09,403901,35480,PEKAO,,bp
5.276384913766232,monthly,403901,,0.11303017323552059,-5.276384913766232,2.968762835616027,3.612593648978006,1.3049715708277636,20,0,2.220446049250313e-12,xgboost,2017-09,403901,45653,PEKAO,,bp
