kind,scope,symbol,period,model,feature_group,shuffle,seed,horizon,task_id,day,ic,label_mean_bps,label_std_bps,prediction_mean_bps,prediction_std_bps,rows,undefined_reason
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-06,-0.03261231078352329,-0.03430663298590677,2.4656976109754747,0.004952228729966438,0.011394143219908356,53671,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-07,0.012591742478767218,-0.03749049128386694,2.103791967573465,0.004306208641047266,0.009322003280178901,35665,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-08,0.005269673034202263,0.06803382897417344,2.116258414804265,0.003957460252524079,0.01017735757500241,45460,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-09,-0.0053417503234700564,-0.021356677720073623,2.4139864078741686,0.003934725584940856,0.011582711787564383,34663,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-12,-0.006276450259871945,-0.020155842576751147,2.3810756338388406,0.0038712205825788687,0.010471168978005221,41860,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-13,0.016015454231233264,0.009741529256401645,2.3186690076985514,0.00435150172338883,0.011565801353884133,53404,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-14,-0.027908783386001425,-0.10127210686630238,2.3449675099530074,0.0038824628079307693,0.00927770565743127,39330,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-16,-0.042204963652537605,0.016608631929561638,1.56544354352813,0.00486468246616494,0.00856423563108669,44640,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-19,-0.0062532449931261575,-0.027573350256308,2.987387617695818,0.0044590741028554814,0.01223660843888094,58145,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-20,-0.02911076297413251,1.30118123569107e-05,2.4323449214296815,0.004901962497519304,0.014376325137123606,31522,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-21,-0.009337668864775212,0.014043305351857206,2.674286595428602,0.004993351394251123,0.01127972863382784,80180,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-22,0.0220084789137945,-0.0026832176426108954,2.195627099270153,0.00514857305525885,0.01064652355336525,59805,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-23,-0.027104374594268923,0.010344196458899646,2.7101101299318664,0.004350923462525037,0.011105373109260814,51767,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-26,0.030736047037006848,0.030238537169657673,1.7097091030600966,0.003455443644730971,0.008659541629047786,25688,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-27,-0.02047330011038119,0.05511489859010638,2.1055281670008816,0.003707555762721883,0.00747736014677556,43181,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-28,-0.05859182251753041,-0.01082573071752257,2.129376826114875,0.00424993952801608,0.008583877422650455,55324,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-29,0.01807354750590627,-0.08688543819149921,2.024571319970085,0.003600400841203052,0.008488303712389091,49531,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,7,20,588c77ea7a2e037d3e9619ca207fcc223d6e333dc8589fa701425aaa3cc27aca,2017-06-30,-0.029596666117270656,-0.03420234397187181,2.0447878394225696,0.004840028629795357,0.01071604353820472,60218,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-01,0.005847151468639685,0.04136386637090247,2.305825408842314,0.0034642570330924104,0.008724781451860668,37200,
