model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
linear,50,0,gross_midpoint_bps,5,5,1.3773391303679459,1.374259144862113,5,1.3773391303679459,later,moving_exit
linear,50,1,gross_midpoint_bps,5,5,1.2772508606432607,1.2465361153197758,5,1.2772508606432607,later,moving_exit
linear,50,5,gross_midpoint_bps,5,5,1.0557195261389194,1.0003387913840325,5,1.0557195261389194,later,moving_exit
xgboost,10,0,gross_midpoint_bps,5,5,1.2414568317112917,1.262712193329303,5,1.2414568317112917,later,moving_exit
xgboost,10,1,gross_midpoint_bps,5,5,0.8495763477664641,0.7718928288141864,5,0.8495763477664641,later,moving_exit
xgboost,10,5,gross_midpoint_bps,5,5,0.5072318235723141,0.5129922596607075,5,0.5072318235723141,later,moving_exit
xgboost,20,0,gross_midpoint_bps,5,5,1.2597146770492802,1.1942072038738365,5,1.2597146770492802,later,moving_exit
xgboost,20,1,gross_midpoint_bps,5,5,1.0611568558786053,1.070019605748374,5,1.0611568558786053,later,moving_exit
xgboost,20,5,gross_midpoint_bps,5,5,0.7706833089691688,0.752686552133788,5,0.7706833089691688,later,moving_exit
xgboost,50,0,gross_midpoint_bps,5,5,1.4568409155200814,1.4966976172241326,5,1.4568409155200814,later,moving_exit
xgboost,50,1,gross_midpoint_bps,5,5,1.3511868581543718,1.3910396171707278,5,1.3511868581543718,later,moving_exit
xgboost,50,5,gross_midpoint_bps,5,5,1.0981573382625176,1.1111061793201775,5,1.0981573382625176,later,moving_exit
linear,10,0,entry_half_spread_bps,5,4,,,4,2.7475501400944924,later,moving_exit
linear,10,1,entry_half_spread_bps,5,4,,,4,5.476566293815479,later,moving_exit
linear,10,5,entry_half_spread_bps,5,4,,,4,5.08550479209647,later,moving_exit
linear,20,0,entry_half_spread_bps,5,5,2.25548065101671,2.41770992927231,5,2.25548065101671,later,moving_exit
linear,20,1,entry_half_spread_bps,5,5,3.2434121938342613,2.936068963512175,5,3.2434121938342613,later,moving_exit
linear,20,5,entry_half_spread_bps,5,5,3.3410818738790935,3.207791745364409,5,3.3410818738790935,later,moving_exit
linear,50,0,entry_half_spread_bps,5,5,3.298679448635594,3.3458287972530196,5,3.298679448635594,later,moving_exit
linear,50,1,entry_half_spread_bps,5,5,3.3736418476250605,3.4087694911087065,5,3.3736418476250605,later,moving_exit
linear,50,5,entry_half_spread_bps,5,5,3.467021394471801,3.469926843999519,5,3.467021394471801,later,moving_exit
xgboost,10,0,entry_half_spread_bps,5,5,2.509924878485452,2.5050709247634,5,2.509924878485452,later,moving_exit
xgboost,10,1,entry_half_spread_bps,5,5,2.8961619817663635,2.8140113744142985,5,2.8961619817663635,later,moving_exit
xgboost,10,5,entry_half_spread_bps,5,5,3.006842761107587,2.888894785216886,5,3.006842761107587,later,moving_exit
xgboost,20,0,entry_half_spread_bps,5,5,2.57994688709657,2.585972663606858,5,2.57994688709657,later,moving_exit
xgboost,20,1,entry_half_spread_bps,5,5,2.7705339957822104,2.7427640495665493,5,2.7705339957822104,later,moving_exit
