model,horizon,latency,interpretation,metric,expected,defined,mean,median,positive,available_case_mean,cohort
linear,10,5,reset,fill_probability,5,5,0.00793767947423384,0.0064757920991439,5,0.00793767947423384,later
linear,10,5,retain,fill_probability,5,5,0.00793767947423384,0.0064757920991439,5,0.00793767947423384,later
linear,20,0,reset,fill_probability,5,5,0.02341883498502586,0.0196206671026814,5,0.02341883498502586,later
linear,20,0,retain,fill_probability,5,5,0.02341883498502586,0.0196206671026814,5,0.02341883498502586,later
linear,20,1,reset,fill_probability,5,5,0.02536984960955428,0.0211926152857618,5,0.02536984960955428,later
linear,20,1,retain,fill_probability,5,5,0.02536984960955428,0.0211926152857618,5,0.02536984960955428,later
linear,20,5,reset,fill_probability,5,5,0.029216635560891102,0.0237972301584569,5,0.029216635560891102,later
linear,20,5,retain,fill_probability,5,5,0.029216635560891102,0.0237972301584569,5,0.029216635560891102,later
linear,50,0,reset,fill_probability,5,5,0.0996642414146977,0.0863627488140771,5,0.0996642414146977,later
linear,50,0,retain,fill_probability,5,5,0.0996642414146977,0.0863627488140771,5,0.0996642414146977,later
linear,50,1,reset,fill_probability,5,5,0.10315476668926649,0.0892801764239688,5,0.10315476668926649,later
linear,50,1,retain,fill_probability,5,5,0.10315476668926649,0.0892801764239688,5,0.10315476668926649,later
linear,50,5,reset,fill_probability,5,5,0.1120383315335618,0.096550773577754,5,0.1120383315335618,later
linear,50,5,retain,fill_probability,5,5,0.1120383315335618,0.096550773577754,5,0.1120383315335618,later
xgboost,10,0,reset,fill_probability,5,5,0.00488818515232442,0.0039361384273633,5,0.00488818515232442,later
xgboost,10,0,retain,fill_probability,5,5,0.00488818515232442,0.0039361384273633,5,0.00488818515232442,later
xgboost,10,1,reset,fill_probability,5,5,0.00570543554487902,0.0046246378882552,5,0.00570543554487902,later
xgboost,10,1,retain,fill_probability,5,5,0.00570543554487902,0.0046246378882552,5,0.00570543554487902,later
xgboost,10,5,reset,fill_probability,5,5,0.0075578907350503394,0.0062614479273568,5,0.0075578907350503394,later
xgboost,10,5,retain,fill_probability,5,5,0.0075578907350503394,0.0062614479273568,5,0.0075578907350503394,later
xgboost,20,0,reset,fill_probability,5,5,0.022815289745735663,0.0186224226360538,5,0.022815289745735663,later
xgboost,20,0,retain,fill_probability,5,5,0.022815289745735663,0.0186224226360538,5,0.022815289745735663,later
xgboost,20,1,reset,fill_probability,5,5,0.0246673940590245,0.0201255263731598,5,0.0246673940590245,later
xgboost,20,1,retain,fill_probability,5,5,0.0246673940590245,0.0201255263731598,5,0.0246673940590245,later
xgboost,20,5,reset,fill_probability,5,5,0.02900507517875196,0.0233726894082819,5,0.02900507517875196,later
xgboost,20,5,retain,fill_probability,5,5,0.02900507517875196,0.0233726894082819,5,0.02900507517875196,later
xgboost,50,0,reset,fill_probability,5,5,0.09953528027311957,0.0843871679128906,5,0.09953528027311957,later
xgboost,50,0,retain,fill_probability,5,5,0.09953528027311957,0.0843871679128906,5,0.09953528027311957,later
xgboost,50,1,reset,fill_probability,5,5,0.1026930007778909,0.0872816236518383,5,0.1026930007778909,later
xgboost,50,1,retain,fill_probability,5,5,0.1026930007778909,0.0872816236518383,5,0.1026930007778909,later
xgboost,50,5,reset,fill_probability,5,5,0.11194118085627847,0.0950690879018641,5,0.11194118085627847,later
xgboost,50,5,retain,fill_probability,5,5,0.11194118085627847,0.0950690879018641,5,0.11194118085627847,later
linear,10,0,reset,mean_fill_time,5,5,7.747112807296384,7.769953051643192,5,7.747112807296384,later
linear,10,0,retain,mean_fill_time,5,5,7.747112807296384,7.769953051643192,5,7.747112807296384,later
linear,10,1,reset,mean_fill_time,5,5,7.542755306174735,7.520435967302452,5,7.542755306174735,later
linear,10,1,retain,mean_fill_time,5,5,7.542755306174735,7.520435967302452,5,7.542755306174735,later
linear,10,5,reset,mean_fill_time,5,5,7.570543506808093,7.609958506224066,5,7.570543506808093,later
linear,10,5,retain,mean_fill_time,5,5,7.570543506808093,7.609958506224066,5,7.570543506808093,later
linear,20,0,reset,mean_fill_time,5,5,14.13054632667548,14.021536252692032,5,14.13054632667548,later
linear,20,0,retain,mean_fill_time,5,5,14.13054632667548,14.021536252692032,5,14.13054632667548,later
linear,20,1,reset,mean_fill_time,5,5,13.857793520284833,13.7729494839761,5,13.857793520284833,later
linear,20,1,retain,mean_fill_time,5,5,13.857793520284833,13.7729494839761,5,13.857793520284833,later
linear,20,5,reset,mean_fill_time,5,5,13.544491559848757,13.51291866028708,5,13.544491559848757,later
linear,20,5,retain,mean_fill_time,5,5,13.544491559848757,13.51291866028708,5,13.544491559848757,later
linear,50,0,reset,mean_fill_time,5,5,30.968658228387813,31.07063227953411,5,30.968658228387813,later
linear,50,0,retain,mean_fill_time,5,5,30.968658228387813,31.07063227953411,5,30.968658228387813,later
linear,50,1,reset,mean_fill_time,5,5,30.63029686469843,30.76381182147165,5,30.63029686469843,later
linear,50,1,retain,mean_fill_time,5,5,30.63029686469843,30.76381182147165,5,30.63029686469843,later
linear,50,5,reset,mean_fill_time,5,5,30.157045614028828,30.213344134325062,5,30.157045614028828,later
linear,50,5,retain,mean_fill_time,5,5,30.157045614028828,30.213344134325062,5,30.157045614028828,later
xgboost,10,0,reset,mean_fill_time,5,5,7.772086494060464,7.785478547854786,5,7.772086494060464,later
xgboost,10,0,retain,mean_fill_time,5,5,7.772086494060464,7.785478547854786,5,7.772086494060464,later
xgboost,10,1,reset,mean_fill_time,5,5,7.589457865205246,7.571847507331379,5,7.589457865205246,later
xgboost,10,1,retain,mean_fill_time,5,5,7.589457865205246,7.571847507331379,5,7.589457865205246,later
xgboost,10,5,reset,mean_fill_time,5,5,7.5765257261938554,7.610062893081761,5,7.5765257261938554,later
xgboost,10,5,retain,mean_fill_time,5,5,7.5765257261938554,7.610062893081761,5,7.5765257261938554,later
xgboost,20,0,reset,mean_fill_time,5,5,14.161472450180446,14.05565594506686,5,14.161472450180446,later
