task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,1,1,93719,0.1424421289170718,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,1,2,78250,0.0900661191167432,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,1,3,88666,0.1286976078863688,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,2,1,104537,0.1080369326230995,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,2,2,125588,0.0672187170076113,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,2,3,115687,0.0987302384934988,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,3,1,116230,0.0951744981872265,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,3,2,140844,0.0631848204040505,
368297dcc195101f5141166f157fe9b5e6619665595c75a99ab3187517f8f802,KGHM,2017-06,linear,F1,3,3,151044,0.0859011246414899,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,1,1,93719,0.1418815655187908,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,1,2,78250,0.0900789333158314,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,1,3,88666,0.1279917032897519,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,2,1,104537,0.1074862816701886,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,2,2,125588,0.0670917438710447,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,2,3,115687,0.0980029720313713,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,3,1,116230,0.0958110193131257,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,3,2,140844,0.0653789493113012,
b2bd87b01cd6f2fe70b1b8c49af4f8418325af472da84b954bb21db7cd73dcdc,KGHM,2017-06,linear,F2,3,3,151044,0.0864874079386354,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,1,1,93719,0.1459602732753461,
