symbol,month,horizon,model_linear,control_seed_linear,task_id_linear,latency,original_rows_linear,rows_linear,threshold_bps_linear,coverage_linear,selected_rows_linear,sign_selected_bps_linear,top_decile_long_bps_linear,bottom_decile_short_bps_linear,ordered_deciles_linear,decile_bins_linear,model_xgboost,control_seed_xgboost,task_id_xgboost,original_rows_xgboost,rows_xgboost,threshold_bps_xgboost,coverage_xgboost,selected_rows_xgboost,sign_selected_bps_xgboost,top_decile_long_bps_xgboost,bottom_decile_short_bps_xgboost,ordered_deciles_xgboost,decile_bins_xgboost,coverage_delta,sign_selected_bps_delta,top_decile_long_bps_delta,bottom_decile_short_bps_delta,ordered_deciles_delta,decile_bins_delta
KGHM,2017-11,20,linear,,dc0f76757a0405d8fed6ce9efdd95f978f9f24bb7c5863fff8cb884804db4b17,5,832293,832188,1.0,0.029666373463688493,24688,-5.512835141638427,-6.5143088947769465,-6.718473302276516,0.0,10,xgboost,,a41eb381001193e13dcc47d3676b6828b619768477e5039df789972bb1759ac1,832293,832188,1.0,0.08594932875744424,71526,-6.330953323405844,-6.602811368448223,-7.183648013658012,0.0,10,0.056282955293755745,-0.8181181817674172,-0.0885024736712765,-0.46517471138149613,0.0,0
KGHM,2017-11,50,linear,,cc76ddb09f9c660d63c8c4d50d45b460ffaa407619dc5e4e9937f98b4edfe664,0,831663,831558,1.0,0.26010693180752276,216294,-6.446117067299685,-5.8902824905437425,-6.180189653458048,0.0,10,xgboost,,b04b45c6a7cb4aa95878a213dffdb6956f4e793993d989b5745548f96dc74c62,831663,831558,1.0,0.2763222769788758,229778,-6.97317779350571,-6.060449364720366,-6.884246910918141,0.0,10,0.016215345171353035,-0.5270607262060247,-0.17016687417662357,-0.704057257460093,0.0,0
KGHM,2017-11,50,linear,,cc76ddb09f9c660d63c8c4d50d45b460ffaa407619dc5e4e9937f98b4edfe664,1,831663,831558,1.0,0.26010693180752276,216294,-6.658902128477639,-6.1491576095989355,-6.420342675782281,0.0,10,xgboost,,b04b45c6a7cb4aa95878a213dffdb6956f4e793993d989b5745548f96dc74c62,831663,831558,1.0,0.2763222769788758,229778,-7.159615753003618,-6.316628676789889,-7.1019582587108525,0.0,10,0.016215345171353035,-0.5007136245259796,-0.16747106719095317,-0.6816155829285719,0.0,0
KGHM,2017-11,50,linear,,cc76ddb09f9c660d63c8c4d50d45b460ffaa407619dc5e4e9937f98b4edfe664,5,831663,831558,1.0,0.26010693180752276,216294,-7.050555821641117,-6.599002418863515,-6.856726636702785,0.0,10,xgboost,,b04b45c6a7cb4aa95878a213dffdb6956f4e793993d989b5745548f96dc74c62,831663,831558,1.0,0.2763222769788758,229778,-7.520814784870379,-6.755849553288578,-7.525480061191864,0.0,10,0.016215345171353035,-0.470258963229262,-0.15684713442506304,-0.6687534244890792,0.0,0
PKNORLEN,2017-04,10,linear,,1199d794b8da3956327c1fb252180801afe346209319f6c7828a9dfe3d2a7be1,0,676108,676018,1.0,1.4792505525000814e-06,1,-4.671805652884574,-5.301856469720517,-5.5101161840164785,0.0,10,xgboost,,c58973ca3a744cfec7104ef45d8b482c87db2de3ec247001cc86456876f89128,676108,676018,1.0,0.007735001139022925,5229,-5.353445724907887,-6.182684005784769,-6.955893737269619,0.0,10,0.007733521888470425,-0.6816400720233133,-0.8808275360642526,-1.4457775532531407,0.0,0
PKNORLEN,2017-04,10,linear,,1199d794b8da3956327c1fb252180801afe346209319f6c7828a9dfe3d2a7be1,1,676108,676018,1.0,1.4792505525000814e-06,1,-4.671805652884574,-5.511457525055854,-5.685813049092412,0.0,10,xgboost,,c58973ca3a744cfec7104ef45d8b482c87db2de3ec247001cc86456876f89128,676108,676018,1.0,0.007735001139022925,5229,-6.446673005485152,-6.386684245098202,-7.1049314611768635,0.0,10,0.007733521888470425,-1.7748673526005785,-0.875226720042348,-1.419118412084451,0.0,0
PKNORLEN,2017-04,10,linear,,1199d794b8da3956327c1fb252180801afe346209319f6c7828a9dfe3d2a7be1,5,676108,676018,1.0,1.4792505525000814e-06,1,-4.671805652884574,-5.905977731611639,-6.039653607703272,0.0,10,xgboost,,c58973ca3a744cfec7104ef45d8b482c87db2de3ec247001cc86456876f89128,676108,676018,1.0,0.007735001139022925,5229,-7.046470224164592,-6.780264154682799,-7.412776040005108,0.0,10,0.007733521888470425,-2.374664571280018,-0.87428642307116,-1.3731224323018356,0.0,0
PKNORLEN,2017-04,20,linear,,2397099eee9643d89c8c38a0b53a3e96c3e6601e1a1d72e7702a9c378f1515a7,0,675928,675838,1.0,1.9235378892574848e-05,13,-7.21717166823784,-5.536886259975966,-5.716673887283445,0.0,10,xgboost,,703c02f4714f4979b408a5cf60807075f7fe52028c74534e9d2fa17526572ad5,675928,675838,1.0,0.03543304756465307,23947,-5.72890297896448,-6.363167446951758,-6.96842485064995,0.0,10,0.03541381218576049,1.4882686892733599,-0.826281186975792,-1.2517509633665052,0.0,0
PKNORLEN,2017-04,20,linear,,2397099eee9643d89c8c38a0b53a3e96c3e6601e1a1d72e7702a9c378f1515a7,1,675928,675838,1.0,1.9235378892574848e-05,13,-7.851194175203284,-5.747027804949678,-5.8910136164439555,0.0,10,xgboost,,703c02f4714f4979b408a5cf60807075f7fe52028c74534e9d2fa17526572ad5,675928,675838,1.0,0.03543304756465307,23947,-6.311745831740613,-6.5621604888917835,-7.117591693604508,0.0,10,0.03541381218576049,1.539448343462671,-0.8151326839421058,-1.2265780771605526,0.0,0
PKNORLEN,2017-04,20,linear,,2397099eee9643d89c8c38a0b53a3e96c3e6601e1a1d72e7702a9c378f1515a7,5,675928,675838,1.0,1.9235378892574848e-05,13,-5.3933749439222005,-6.136730721909497,-6.236869630611845,0.0,10,xgboost,,703c02f4714f4979b408a5cf60807075f7fe52028c74534e9d2fa17526572ad5,675928,675838,1.0,0.03543304756465307,23947,-6.887722004786427,-6.959542290472949,-7.430793329650817,0.0,10,0.03541381218576049,-1.4943470608642269,-0.8228115685634521,-1.1939236990389723,0.0,0
