symbol,month,horizon,model,control_seed,task_id,latency,original_rows,rows,threshold_bps,coverage,selected_rows,sign_selected_bps,top_decile_long_bps,bottom_decile_short_bps,ordered_deciles,decile_bins
PKNORLEN,2017-04,10,linear,,1199d794b8da3956327c1fb252180801afe346209319f6c7828a9dfe3d2a7be1,0,676108,676018,1.0,1.4792505525000814e-06,1,-4.671805652884574,-5.301856469720517,-5.5101161840164785,0.0,10
PKNORLEN,2017-04,10,linear,,1199d794b8da3956327c1fb252180801afe346209319f6c7828a9dfe3d2a7be1,1,676108,676018,1.0,1.4792505525000814e-06,1,-4.671805652884574,-5.511457525055854,-5.685813049092412,0.0,10
PKNORLEN,2017-04,10,linear,,1199d794b8da3956327c1fb252180801afe346209319f6c7828a9dfe3d2a7be1,5,676108,676018,1.0,1.4792505525000814e-06,1,-4.671805652884574,-5.905977731611639,-6.039653607703272,0.0,10
PKNORLEN,2017-04,10,xgboost,,c58973ca3a744cfec7104ef45d8b482c87db2de3ec247001cc86456876f89128,0,676108,676018,1.0,0.007735001139022925,5229,-5.353445724907887,-6.182684005784769,-6.955893737269619,0.0,10
PKNORLEN,2017-04,10,xgboost,,c58973ca3a744cfec7104ef45d8b482c87db2de3ec247001cc86456876f89128,1,676108,676018,1.0,0.007735001139022925,5229,-6.446673005485152,-6.386684245098202,-7.1049314611768635,0.0,10
PKNORLEN,2017-04,10,xgboost,,c58973ca3a744cfec7104ef45d8b482c87db2de3ec247001cc86456876f89128,5,676108,676018,1.0,0.007735001139022925,5229,-7.046470224164592,-6.780264154682799,-7.412776040005108,0.0,10
PKNORLEN,2017-04,20,linear,,2397099eee9643d89c8c38a0b53a3e96c3e6601e1a1d72e7702a9c378f1515a7,0,675928,675838,1.0,1.9235378892574848e-05,13,-7.21717166823784,-5.536886259975966,-5.716673887283445,0.0,10
PKNORLEN,2017-04,20,linear,,2397099eee9643d89c8c38a0b53a3e96c3e6601e1a1d72e7702a9c378f1515a7,1,675928,675838,1.0,1.9235378892574848e-05,13,-7.851194175203284,-5.747027804949678,-5.8910136164439555,0.0,10
PKNORLEN,2017-04,20,linear,,2397099eee9643d89c8c38a0b53a3e96c3e6601e1a1d72e7702a9c378f1515a7,5,675928,675838,1.0,1.9235378892574848e-05,13,-5.3933749439222005,-6.136730721909497,-6.236869630611845,0.0,10
PKNORLEN,2017-04,20,xgboost,,703c02f4714f4979b408a5cf60807075f7fe52028c74534e9d2fa17526572ad5,0,675928,675838,1.0,0.03543304756465307,23947,-5.72890297896448,-6.363167446951758,-6.96842485064995,0.0,10
PKNORLEN,2017-04,20,xgboost,,703c02f4714f4979b408a5cf60807075f7fe52028c74534e9d2fa17526572ad5,1,675928,675838,1.0,0.03543304756465307,23947,-6.311745831740613,-6.5621604888917835,-7.117591693604508,0.0,10
PKNORLEN,2017-04,20,xgboost,,703c02f4714f4979b408a5cf60807075f7fe52028c74534e9d2fa17526572ad5,5,675928,675838,1.0,0.03543304756465307,23947,-6.887722004786427,-6.959542290472949,-7.430793329650817,0.0,10
PKNORLEN,2017-04,50,linear,,7cb1d2b4747a0c8dbc636774d885e99cad7ef2c4f168026e2cfbb49dfcceb45a,0,675388,675298,1.0,0.05405761604506455,36505,-5.495142269263078,-6.375256242036347,-6.604075446608891,0.0,10
PKNORLEN,2017-04,50,linear,,7cb1d2b4747a0c8dbc636774d885e99cad7ef2c4f168026e2cfbb49dfcceb45a,1,675388,675298,1.0,0.05405761604506455,36505,-5.711424187982674,-6.569618208706279,-6.755059857595203,0.0,10
PKNORLEN,2017-04,50,linear,,7cb1d2b4747a0c8dbc636774d885e99cad7ef2c4f168026e2cfbb49dfcceb45a,5,675388,675298,1.0,0.05405761604506455,36505,-6.112421830415555,-6.929061680373805,-7.052578793794929,0.0,10
PKNORLEN,2017-04,50,xgboost,,f4ed735c8c497d942aa1d39e07a92594f84b353d48b02bae1bd2c90ee2188164,0,675388,675298,1.0,0.16316648353763819,110186,-7.045037278813784,-7.100763268798118,-6.9024608780120555,0.0,10
PKNORLEN,2017-04,50,xgboost,,f4ed735c8c497d942aa1d39e07a92594f84b353d48b02bae1bd2c90ee2188164,1,675388,675298,1.0,0.16316648353763819,110186,-7.228786955782717,-7.272811908396975,-7.050417080936339,0.0,10
PKNORLEN,2017-04,50,xgboost,,f4ed735c8c497d942aa1d39e07a92594f84b353d48b02bae1bd2c90ee2188164,5,675388,675298,1.0,0.16316648353763819,110186,-7.587521077149835,-7.623837392220788,-7.376144897563161,0.0,10
PKNORLEN,2017-06,10,linear,,86c9d9867523ef6652e925a20f4bde25e5a88bf75110b2829c415ad3d72b0cae,0,863190,863085,1.0,9.269075467653823e-06,8,-4.2983951806077725,-5.770457578479425,-6.189631862919642,0.0,10
