symbol,model,horizon,control_seed,ic,direction_accuracy,cost_coverage,selected_midpoint_diagnostic_bps,prediction_decile_monotonicity,symbol_month_blocks
PZU,hist_gradient_boosting,20,,0.2190164271054877,0.6283758259650484,0.02208186936809265,1.1752105977675,1.0,1
PZU,hist_gradient_boosting,50,,0.2145195742129216,0.6049542862692324,0.15510667548108903,1.118624132130512,1.0,1
PZU,linear,10,,0.1977518083896703,0.6499109719540106,1.7971240705908738e-05,-0.08102852125417381,1.0,4
PZU,linear,20,,0.21918319395974584,0.6315225078864806,0.0037809042347798226,0.7943752170100189,1.0,4
PZU,linear,50,,0.21612195229959907,0.6045239204014621,0.18003282125163952,0.9967079829166108,1.0,4
PZU,xgboost,10,7.0,-0.0048910201061627984,0.4929725888813951,0.0,,0.4444444444444444,1
PZU,xgboost,10,,0.20492085888987988,0.6530422405874988,0.009780786712637574,1.100306195267947,1.0,4
PZU,xgboost,20,7.0,0.018422749229648445,0.5113397855066492,0.0,,0.5555555555555556,1
PZU,xgboost,20,,0.22408525825803877,0.6338018909637341,0.039985033387384,1.0305420962990983,1.0,4
PZU,xgboost,50,7.0,0.01063219014327719,0.5093411395829576,0.0,,0.5555555555555556,1
PZU,xgboost,50,,0.22253102745477116,0.6063720271138927,0.16390426748861742,1.0942625597187317,1.0,4
