adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.1118799821,,1098436,0.0712767972,0.0858019948,94248,50,reset,5,-0.2320779884,-0.6137820709,94247,94248,-0.4464896604,94248,-0.7181893137,81660,30.5687123334,771.9789555331,31.0,573.0,xgboost,2017-04,0.8129185496,1098436,149.0,1549.0,0.0039246711,5.0960623591,4.3324525059,94247,94248,4.6672060951,94248,3.9749735111,81660,KGHM,0.9141980052,0
0.0320238477,,1014775,0.0066310266,0.0081121431,8232,10,retain,0,0.1186842749,0.0898572339,8232,8232,0.1999613256,8232,0.2464340006,8232,7.320335277,844.8412859994,7.0,647.0,linear,2017-06,0.9610465374,1014775,200.0,1597.0,0.0002985884,4.4771862947,4.4195173258,8232,8232,4.6397095741,8232,4.7327109874,8232,KGHM,0.9918878569,0
0.0500682417,7.0,1014775,0.0149629228,0.0178482915,18112,10,retain,0,0.0478017537,-0.1137847571,18106,18112,0.0755535615,18112,0.0879840834,18112,7.1303003534,558.6343504718,7.0,367.0,xgboost,2017-06,0.9343164741,1014775,83.0,1214.0,0.0006523614,5.1815294417,4.8585295679,18106,18112,5.2370354495,18112,5.2619252178,18112,KGHM,0.9821517085,0
0.0313537484,,1014775,0.0062664137,0.0076115395,7724,10,retain,0,0.1038138734,0.0872460771,7723,7724,0.1957725533,7724,0.2373686886,7724,7.3865872605,837.0549136508,8.0,640.0,xgboost,2017-06,0.9620861767,1014775,199.0,1584.0,0.0002936612,4.5070766344,4.473869134,7723,7724,4.6909565602,7724,4.7741986709,7724,KGHM,0.9923884605,0
0.0338390284,,1014775,0.00745584,0.0090502821,9184,10,retain,1,0.178279342,0.0518757931,9184,9184,0.1832481334,9184,0.2451812478,7585,7.21853223,830.6728259959,7.0,633.0,linear,2017-06,0.9583750092,1014775,188.0,1580.0,0.0003301224,4.6358706152,4.3830505689,9184,9184,4.6457705886,9184,4.7020884179,7585,KGHM,0.9909497179,0
0.0499588579,7.0,1014775,0.0149264615,0.0178078884,18071,10,retain,1,0.0488466332,-0.1288139185,18066,18071,0.0633096307,18071,0.0724777229,15036,7.1387859001,558.894804267,7.0,367.0,xgboost,2017-06,0.9344564066,1014775,83.0,1214.0,0.000658274,5.1170043874,4.7618212575,18066,18071,5.1459325418,18071,5.1221759743,15036,KGHM,0.9821921116,0
0.0333768569,,1014775,0.0071602079,0.0086689168,8797,10,retain,1,0.1585027085,0.0581015515,8796,8797,0.1921016473,8797,0.241976584,7256,7.23905877,824.2413283733,7.0,626.0,xgboost,2017-06,0.959135769,1014775,185.0,1573.0,0.0003271661,4.7069892192,4.5061514534,8796,8797,4.7741518161,8797,4.8136210818,7256,KGHM,0.9913310832,0
0.0393703038,,1014775,0.0094316474,0.0115680816,11739,10,retain,5,0.1212164342,0.0038238852,11739,11739,0.1473375486,11739,0.2082159189,2972,7.1903058182,800.5838042916,7.0,605.0,linear,2017-06,0.9507812077,1014775,150.0,1559.0,0.0004168412,4.3017433584,4.066937766,11739,11739,4.3539203217,11739,4.1883465672,2972,KGHM,0.9884319184,0
0.0501648149,7.0,1014775,0.0148712769,0.0177359513,17998,10,retain,5,0.0272910272,-0.1419440301,17997,17998,0.026936729,17998,0.1083107515,4865,7.1282920324,557.7530871375,7.0,365.0,xgboost,2017-06,0.9343164741,1014775,82.0,1214.0,0.0006474342,5.0568241877,4.7183981404,17997,17998,5.0561264303,17998,5.4667257297,4865,KGHM,0.9822640487,0
0.0391929245,,1014775,0.0091616368,0.0112320465,11398,10,retain,5,0.112964356,0.0010277798,11397,11398,0.1576793076,11398,0.2092926348,2873,7.2008247061,794.9945672686,7.0,600.0,xgboost,2017-06,0.9512216994,1014775,150.0,1549.0,0.0004237393,4.394494476,4.1705854347,11397,11398,4.4838863078,11398,4.3275928162,2873,KGHM,0.9887679535,0
