model,horizon,control_seed,latency,interpretation,adverse_before_fill,eligible_decisions,fill_before_adverse,fill_probability,fills,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions,blocks,adverse_before_fill_defined_blocks,eligible_decisions_defined_blocks,fill_before_adverse_defined_blocks,fill_probability_defined_blocks,fills_defined_blocks,markout_1_defined_blocks,markout_10_defined_blocks,markout_10_observations_defined_blocks,markout_1_observations_defined_blocks,markout_5_defined_blocks,markout_5_observations_defined_blocks,markout_remaining_defined_blocks,markout_remaining_observations_defined_blocks,mean_fill_time_defined_blocks,mean_queue_ahead_defined_blocks,median_fill_time_defined_blocks,median_queue_ahead_defined_blocks,no_event_fraction_defined_blocks,placed_orders_defined_blocks,queue_ahead_p10_defined_blocks,queue_ahead_p90_defined_blocks,simultaneous_defined_blocks,spread_1_defined_blocks,spread_10_defined_blocks,spread_10_observations_defined_blocks,spread_1_observations_defined_blocks,spread_5_defined_blocks,spread_5_observations_defined_blocks,spread_remaining_defined_blocks,spread_remaining_observations_defined_blocks,unfilled_fraction_defined_blocks,zero_signal_decisions_defined_blocks
linear,20,,5,reset,0.08462522183,841249.1,0.022783155995,0.029895388535,24382.8,-0.12006451175499999,-0.41680676183500004,24357.25,24380.15,-0.271626218695,24370.2,-0.12729664921,14777.3,13.5306024987,1385.119418109535,14.05,1008.5,0.8906927897499999,841249.1,268.6,2764.15,0.00189883244,4.4655977653050005,3.8733221156399997,24357.25,24380.15,4.16327128105,24370.2,4.209632353825,14777.3,0.9701046114649999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,20,,5,retain,0.08462522183,841249.1,0.022783155995,0.029895388535,24382.8,-0.12006451175499999,-0.41680676183500004,24357.25,24380.15,-0.271626218695,24370.2,-0.12729664921,14777.3,13.5306024987,1385.119418109535,14.05,1008.5,0.8906927897499999,841249.1,268.6,2764.15,0.00189883244,4.4655977653050005,3.8733221156399997,24357.25,24380.15,4.16327128105,24370.2,4.209632353825,14777.3,0.9701046114649999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,50,,0,reset,0.158494087115,835554.1,0.079010983745,0.102338410135,82966.35,-0.23403160017500002,-0.69342226412,82945.75,82965.75,-0.5201311309900001,82959.85,-0.8442386044899999,82966.35,30.962096399914998,1450.46186530409,31.75,1070.6,0.7550676356,835554.1,340.81,2824.05,0.00742729354,5.421013541655,4.502253603385,82945.75,82965.75,4.84874887684,82959.85,4.200637752525,82966.35,0.897661589865,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,50,,0,retain,0.158494087115,835554.1,0.079010983745,0.102338410135,82966.35,-0.23403160017500002,-0.69342226412,82945.75,82965.75,-0.5201311309900001,82959.85,-0.8442386044899999,82966.35,30.962096399914998,1450.46186530409,31.75,1070.6,0.7550676356,835554.1,340.81,2824.05,0.00742729354,5.421013541655,4.502253603385,82945.75,82965.75,4.84874887684,82959.85,4.200637752525,82966.35,0.897661589865,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,50,,1,reset,0.16240655895,835554.1,0.08161024582500001,0.10609703479500002,86079.75,-0.22355177739499998,-0.6722041400900001,86054.5,86078.3,-0.50112579238,86070.6,-0.811415972235,83798.05,30.597683517345,1432.09296558776,31.45,1054.15,0.7483896534550001,835554.1,319.02,2807.35,0.00759354176,5.398110757095,4.50083559863,86054.5,86078.3,4.842868875795,86070.6,4.19272086652,83798.05,0.8939029652049999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,50,,1,retain,0.16240655895,835554.1,0.08161024582500001,0.10609703479500002,86079.75,-0.22355177739499998,-0.6722041400900001,86054.5,86078.3,-0.50112579238,86070.6,-0.811415972235,83798.05,30.597683517345,1432.09296558776,31.45,1054.15,0.7483896534550001,835554.1,319.02,2807.35,0.00759354176,5.398110757095,4.50083559863,86054.5,86078.3,4.842868875795,86070.6,4.19272086652,83798.05,0.8939029652049999,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,50,,5,reset,0.17269261939,835554.1,0.087995567455,0.115111719645,93437.8,-0.21470674483500002,-0.6431204454899999,93393.5,93432.95,-0.479808489395,93417.7,-0.73402983814,81502.0,30.08568960211,1383.2283288886351,30.85,1006.55,0.73129839324,835554.1,267.75,2761.4,0.008013419895,5.32791479487,4.47113059997,93393.5,93432.95,4.797515993639999,93417.7,4.1351959534,81502.0,0.884888280355,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
linear,50,,5,retain,0.17269261939,835554.1,0.087995567455,0.115111719645,93437.8,-0.21470674483500002,-0.6431204454899999,93393.5,93432.95,-0.479808489395,93417.7,-0.73402983814,81502.0,30.08568960211,1383.2283288886351,30.85,1006.55,0.73129839324,835554.1,267.75,2761.4,0.008013419895,5.32791479487,4.47113059997,93393.5,93432.95,4.797515993639999,93417.7,4.1351959534,81502.0,0.884888280355,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
xgboost,10,7.0,0,reset,0.07456299324,914106.0,0.013103534980000001,0.01738426284,15363.2,0.02542201802,-0.1845606139,15351.8,15362.8,-0.04062879738,15357.0,-0.0034755738200000054,15363.2,7.26058889824,964.70488998786,7.6,651.0,0.9113809757,914106.0,130.8,2107.6,0.00095249606,4.81553494962,4.3980704069600005,15351.8,15362.8,4.68486455646,15357.0,4.7577163742,15363.2,0.9826157371600001,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
xgboost,10,7.0,0,retain,0.07456299324,914106.0,0.013103534980000001,0.01738426284,15363.2,0.02542201802,-0.1845606139,15351.8,15362.8,-0.04062879738,15357.0,-0.0034755738200000054,15363.2,7.26058889824,964.70488998786,7.6,651.0,0.9113809757,914106.0,130.8,2107.6,0.00095249606,4.81553494962,4.3980704069600005,15351.8,15362.8,4.68486455646,15357.0,4.7577163742,15363.2,0.9826157371600001,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
