adverse_before_fill,control_seed,decile,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0458414724,,1,111602,0.0139603233,0.0156538413,1747,10,retain,1,0.4761502225,0.4348299326,1747,1747,0.686476371,1747,0.4314123922,1478,7.1139095592,116.753624487,7.0,120.0,xgboost,2017-04,0.9399921148,111602,66.0,162.0,0.0002060895,5.1843169568,5.1016282587,1747,1747,5.6050448135,1747,4.8685515369,1478,KGHM,0.9843461587,0
0.0297255327,,2,108829,0.0044014004,0.0050813662,553,10,retain,1,-0.1077899786,0.0496370693,553,553,0.0048477367,553,-0.0321633,423,7.6943942134,223.6987567652,8.0,224.0,xgboost,2017-04,0.9657536135,108829,186.0,262.0,0.0001194535,4.3419416024,4.6567246357,553,553,4.5672049838,553,4.4578810848,423,KGHM,0.9949186338,0
0.0224310754,,3,110338,0.003869927,0.004622161,510,10,retain,1,0.0755588006,-0.0164803457,510,510,0.0784385881,510,0.1288304537,398,7.6274509804,322.7034385253,8.0,320.0,xgboost,2017-04,0.9734452319,110338,283.0,364.0,0.0002537657,3.6726633365,3.4887314269,510,510,3.6786814018,510,3.516428415,398,KGHM,0.995377839,0
0.0209211525,,4,109363,0.0030906248,0.0036392564,398,10,retain,1,-0.1449568786,-0.9203298963,398,398,-0.4951781768,398,-0.2098049462,312,7.8065326633,428.7582454761,8.0,427.0,xgboost,2017-04,0.9758144894,109363,387.0,474.0,0.0001737333,3.0947679143,1.5440440014,398,398,2.3942282668,398,2.9350009302,312,KGHM,0.9963607436,0
0.0192754676,,5,110140,0.0030143454,0.0035591066,392,10,retain,1,-0.3987897391,-0.4161343882,392,392,-0.333327938,392,-0.1223903161,288,8.0867346939,538.3371436354,8.0,534.0,xgboost,2017-04,0.9775739967,110140,500.0,591.0,0.0001361903,3.7722482711,3.7373065689,392,392,3.9030551099,392,4.2405430498,288,KGHM,0.9964408934,0
0.0184636488,,6,109350,0.0021399177,0.002780064,304,10,retain,1,0.0418614839,-0.4499378727,303,303,-0.0254062144,303,-0.1188794746,235,7.9868421053,667.4882761774,8.0,667.0,xgboost,2017-04,0.9791769547,109350,614.0,723.0,0.0002194787,2.7886494505,1.8050003993,303,303,2.6541787745,303,2.5543562193,235,KGHM,0.997219936,0
0.0143630157,,7,110144,0.0017704096,0.0020609384,227,10,retain,1,-0.4606375664,-0.6915472647,227,227,-0.3440027049,227,-0.3000373344,156,8.2775330396,818.9092188408,9.0,816.0,xgboost,2017-04,0.9838574956,110144,754.0,889.0,9.079e-06,2.7865895911,2.3247367685,227,227,3.0198627794,227,2.9383955148,156,KGHM,0.9979390616,0
0.0183926684,,8,109772,0.0015577743,0.0017855191,196,10,retain,1,-0.110938229,-0.7354187291,196,196,-0.6349263661,196,-0.194814561,144,8.306122449,1016.6757825311,8.5,1007.0,xgboost,2017-04,0.9799948985,109772,927.0,1114.0,5.46587e-05,3.1172150946,1.8681398794,196,196,2.0692527679,196,2.9867411102,144,KGHM,0.9982144809,0
0.01497257,,9,109734,0.0009021816,0.0009933111,109,10,retain,1,0.7831125964,0.0442493302,109,109,0.5533865822,109,0.7064884262,72,8.5321100917,1329.5037727596,9.0,1314.0,xgboost,2017-04,0.9840796836,109734,1172.0,1517.0,4.55647e-05,4.3975070053,2.9196274968,109,109,3.9381480622,109,3.8882462789,72,KGHM,0.9990066889,0
0.0123493866,,10,109884,0.0004368243,0.0004823268,53,10,retain,1,-0.6177935332,-0.8532177799,53,53,-1.1459165286,53,-0.404901092,35,8.4905660377,2537.0584161479,9.0,2070.0,xgboost,2017-04,0.9871955881,109884,1646.0,4000.0,1.8201e-05,2.1817798111,1.7105525861,53,53,1.1254723081,53,2.8882483387,35,KGHM,0.9995176732,0
0.0647429958,,1,113325,0.0228016766,0.0256871829,2911,10,retain,5,0.4330871841,0.3997828367,2911,2911,0.6860422278,2911,0.3005845157,862,6.9089659911,99.1473373042,7.0,100.0,linear,2017-04,0.9121111846,113325,50.0,146.0,0.000344143,4.7107367726,4.6440988147,2911,2911,5.2166010059,2911,3.700229301,862,KGHM,0.9743128171,0
