interpretation,horizon,latency,metric,blocks,defined_blocks,mean_delta,median_delta,wins,ci_low,ci_high,without_KGHM,without_PKNORLEN,without_PKOBP,without_PZU,without_PEKAO,without_2017-04,without_2017-06,without_2017-09,without_2017-11
retain,20,1,spread_5,20,20,0.08445149634500002,0.08100165155000005,18,0.05166392294274998,0.11789825646062488,0.07711922171875002,0.08874434060000003,0.07489335400625005,0.09612512310000004,0.08537544229999997,0.08594705644666671,0.08086214052000006,0.08565760566666665,0.08533918274666667
retain,20,5,fill_probability,20,20,-0.0003230864249999998,-0.0003394888000000009,3,-0.0004629795382499995,-0.0001702684988749999,-0.00027275523125,-0.0003385004874999996,-0.00039720781874999955,-0.00033132658125,-0.00027564200624999985,-0.0003038277999999996,-0.0003597076933333334,-0.0003606095933333331,-0.00026820061333333314
retain,20,5,fill_before_adverse,20,20,-0.00022260077999999972,-0.0002246059999999996,4,-0.00034607998824999963,-0.00010127165750000084,-0.00017038902500000007,-0.00023221238124999954,-0.0002724320749999999,-0.0002503971312499999,-0.0001875732874999992,-0.00018451164666666634,-0.00027203200666666636,-0.00026940487999999957,-0.00016445458666666663
retain,20,5,markout_5,20,20,-0.006740736530000004,-0.0027179427500000075,8,-0.013678816997000003,-0.001285647790375005,-0.004812720406250004,-0.005466749375000005,-0.008105182231250004,-0.007957543531250005,-0.00736148710625,-0.004790176560000006,-0.005947856546666671,-0.008882837373333334,-0.007342075640000004
retain,20,5,spread_5,20,20,0.05544498293999989,0.06652353489999974,16,0.024711601533499897,0.08606024239499983,0.048752665306249915,0.06245915640624988,0.04637826305624987,0.06600484749999991,0.05362998243124986,0.05991641577999983,0.055733972579999916,0.051200785493333206,0.0549287579066666
retain,50,0,fill_probability,20,20,0.000827215194999998,0.00046447344999999557,17,0.00037735832199999725,0.0013135082772499987,0.0008326050187499991,0.0006786511124999986,0.0009066959062499977,0.0009015493999999982,0.0008165745374999964,0.000865381519999997,0.0005177228199999985,0.0011327818399999975,0.0007929745999999988
retain,50,0,fill_before_adverse,20,20,0.0008384658050000004,0.0005735700499999996,16,0.000447895939750002,0.0012684182255000003,0.0008545414625,0.0007125496937500013,0.0009341643062500005,0.0008673745187499997,0.0008236990437500004,0.0009684985800000009,0.0005020517866666662,0.0010634881666666666,0.000819824686666668
retain,50,0,markout_5,20,20,0.0058417189999999935,0.00749427205,13,0.0016250891587499818,0.009937271655250001,0.006791106093749994,0.005356282712499995,0.005426982281249994,0.0059566111124999925,0.005677612799999994,0.0057550644999999866,0.006261001879999994,0.004407364506666665,0.00694344511333333
retain,50,0,spread_5,20,20,0.10645468145999996,0.09830447895000027,20,0.08012664442937491,0.13828281634300005,0.09096701319999997,0.11560497775624998,0.10694687972499992,0.10365030515625001,0.11510423146249996,0.10563173026666658,0.09362956595333331,0.12269632870000002,0.10386110091999994
retain,50,1,fill_probability,20,20,0.0003434299249999946,0.00014054420000000206,13,-3.231342012500516e-05,0.000747672904124991,0.00036073306874999465,0.00025525355624999354,0.000379631324999994,0.00040165558749999473,0.00031987608749999615,0.00036625685333332807,9.883485999999478e-05,0.0006301155466666606,0.00027851243999999495
retain,50,1,fill_before_adverse,20,20,0.0004489666699999999,0.00029608485000000295,12,0.00011648620937500027,0.0008102884930000004,0.0004851493750000005,0.0003767552375,0.0004955211000000001,0.0004585612187499996,0.0004288464187499992,0.000560095933333334,0.0001636504133333332,0.0006656441466666677,0.0004064761866666646
