symbol,horizon_events,feature_set,model,fold,day,negative_control,n_test,ic,direction_accuracy,cost_coverage,mean_abs_markout_bps,mean_signed_markout_after_cost_bps
PEKAO,20,imbalance,linear,8,2017-01-13,False,19912,0.2535853882395342,0.6619042861424718,0.0680996384089996,1.3179444885198381,-0.059076819154075165
PEKAO,20,imbalance,linear,8,2017-01-13,True,19912,0.08735455820930933,0.4684783694674793,0.0,1.3179444885198381,
PEKAO,20,imbalance,linear,9,2017-01-16,False,58100,0.23154128656578044,0.6231304240782913,0.14497418244406196,2.159920584973991,0.3058552202540843
PEKAO,20,imbalance,linear,9,2017-01-16,True,58100,0.17854305743600116,0.5373915184341724,0.0,2.159920584973991,
PEKAO,20,imbalance,tree,1,2017-01-03,False,40611,0.19070259496251482,0.6173175745118191,0.21516337937997093,1.6979163618400055,-0.49955126264458
PEKAO,20,imbalance,tree,1,2017-01-03,True,40611,-0.11993432055345615,0.5003597122302158,0.0,1.6979163618400055,
PEKAO,20,imbalance,tree,2,2017-01-04,False,45475,0.26015125652529064,0.637901228799701,0.24499175371083012,1.480256932063636,-0.02282074210993333
PEKAO,20,imbalance,tree,2,2017-01-04,True,45475,-0.0023039620710894526,0.4984347988599729,0.0,1.480256932063636,
PEKAO,20,imbalance,tree,3,2017-01-05,False,20681,0.31797428866426297,0.7014421601718318,0.1550215173347517,1.262496846717636,0.20880119199885275
PEKAO,20,imbalance,tree,3,2017-01-05,True,20681,-0.17544174123335862,0.5059834305001534,0.0,1.262496846717636,
PEKAO,20,imbalance,tree,4,2017-01-09,False,41999,0.30041618576835294,0.6884191690432254,0.1680754303673897,1.1913477456356454,0.04404387070575156
PEKAO,20,imbalance,tree,4,2017-01-09,True,41999,-0.048959050215529216,0.4806799753956271,0.0,1.1913477456356454,
PEKAO,20,imbalance,tree,5,2017-01-10,False,32354,0.25984149931108613,0.6529427289522302,0.13095753229894294,1.3257777091374983,0.04791327719975334
PEKAO,20,imbalance,tree,5,2017-01-10,True,32354,-0.0054586077408135085,0.49320401161256266,0.0,1.3257777091374983,
PEKAO,20,imbalance,tree,6,2017-01-11,False,18482,0.3185152187331499,0.6857792371811063,0.11908884319878801,1.2239893186373885,0.1323894917074572
PEKAO,20,imbalance,tree,6,2017-01-11,True,18482,0.04372602796102307,0.49431674665319525,0.0,1.2239893186373885,
PEKAO,20,imbalance,tree,7,2017-01-12,False,37010,0.27886685244244475,0.6521829521829522,0.2176979194812213,1.5318661619733982,0.05912771577361548
PEKAO,20,imbalance,tree,7,2017-01-12,True,37010,0.005564202623768362,0.47411642411642413,0.0,1.5318661619733982,
PEKAO,20,imbalance,tree,8,2017-01-13,False,19912,0.24685856760583758,0.6620041962233989,0.07929891522699879,1.3179444885198381,0.08461867148574695
PEKAO,20,imbalance,tree,8,2017-01-13,True,19912,-0.010564199529772608,0.4684783694674793,0.0,1.3179444885198381,
PEKAO,20,imbalance,tree,9,2017-01-16,False,58100,0.2297783229117436,0.6194066596910199,0.13662650602409637,2.159920584973991,0.26679300743147244
PEKAO,20,imbalance,tree,9,2017-01-16,True,58100,0.022586932615861813,0.5417000061549825,0.0,2.159920584973991,
PEKAO,20,ofi,linear,1,2017-01-03,False,40611,0.2480813891841299,0.6457862281603289,0.19019477481470537,1.6979163618400055,-0.08935576805478845
PEKAO,20,ofi,linear,1,2017-01-03,True,40611,-0.17095283101476672,0.4972764645426516,7.387161113983896e-05,1.6979163618400055,-1.8028611790655837
PEKAO,20,ofi,linear,2,2017-01-04,False,45475,0.29741369757482605,0.6842498715133393,0.15340296866410116,1.480256932063636,0.06839764730482921
PEKAO,20,ofi,linear,2,2017-01-04,True,45475,0.20837218443665423,0.49955613699014156,0.0,1.480256932063636,
PEKAO,20,ofi,linear,3,2017-01-05,False,20681,0.3306345825354594,0.7171934131124067,0.15874474155021517,1.262496846717636,0.16658863712287242
PEKAO,20,ofi,linear,3,2017-01-05,True,20681,-0.20837863284697752,0.5052674644574,0.0,1.262496846717636,
PEKAO,20,ofi,linear,4,2017-01-09,False,41999,0.29323094013670475,0.6924453391489124,0.1379080454296531,1.1913477456356454,0.049581029504781896
PEKAO,20,ofi,linear,4,2017-01-09,True,41999,0.08481857755102123,0.4787228093720293,0.0,1.1913477456356454,
PEKAO,20,ofi,linear,5,2017-01-10,False,32354,0.2744988715338842,0.6753760886777513,0.12010879643938925,1.3257777091374983,0.10874100731343046
PEKAO,20,ofi,linear,5,2017-01-10,True,32354,0.11098107833006182,0.4947215624175244,0.0,1.3257777091374983,
PEKAO,20,ofi,linear,6,2017-01-11,False,18482,0.31101624465025113,0.6842637029552917,0.1280164484363164,1.2239893186373885,0.12900297828445742
PEKAO,20,ofi,linear,6,2017-01-11,True,18482,0.027753040654064767,0.4863601919676686,0.0,1.2239893186373885,
PEKAO,20,ofi,linear,7,2017-01-12,False,37010,0.28659679781064573,0.6544178794178794,0.197135909213726,1.5318661619733982,0.0665045270864877
PEKAO,20,ofi,linear,7,2017-01-12,True,37010,-0.20486551881776588,0.47448024948024947,0.0,1.5318661619733982,
PEKAO,20,ofi,linear,8,2017-01-13,False,19912,0.254954181475086,0.6638025776800879,0.06835074327038972,1.3179444885198381,-0.01288050847013934
PEKAO,20,ofi,linear,8,2017-01-13,True,19912,0.08579120563668553,0.46887800979118793,0.0,1.3179444885198381,
PEKAO,20,ofi,linear,9,2017-01-16,False,58100,0.23383034813695466,0.6245768449559919,0.143631669535284,2.159920584973991,0.3378277930526369
PEKAO,20,ofi,linear,9,2017-01-16,True,58100,0.18287403468632293,0.5406536591370714,0.0,2.159920584973991,
PEKAO,20,ofi,tree,1,2017-01-03,False,40611,0.1976910895222878,0.620606372045221,0.22850951712590184,1.6979163618400055,-0.38114651783400144
PEKAO,20,ofi,tree,1,2017-01-03,True,40611,-0.1294584699993567,0.49912641315519013,0.0,1.6979163618400055,
PEKAO,20,ofi,tree,2,2017-01-04,False,45475,0.2658695594021579,0.6458907629771528,0.2382847718526663,1.480256932063636,0.016988211644218258
PEKAO,20,ofi,tree,2,2017-01-04,True,45475,-0.038396460175851174,0.4979208522169789,0.0,1.480256932063636,
PEKAO,20,ofi,tree,3,2017-01-05,False,20681,0.323289725427761,0.6935665337015444,0.15632706348822592,1.262496846717636,0.2512408360548618
PEKAO,20,ofi,tree,3,2017-01-05,True,20681,-0.11152412714275668,0.5121202822951826,0.0,1.262496846717636,
PEKAO,20,ofi,tree,4,2017-01-09,False,41999,0.3051372272949694,0.6925571772074037,0.15990856925164884,1.1913477456356454,0.13246635929396075
PEKAO,20,ofi,tree,4,2017-01-09,True,41999,-0.0481858486644716,0.4806799753956271,0.0,1.1913477456356454,
PEKAO,20,ofi,tree,5,2017-01-10,False,32354,0.2706715915155021,0.6648851939825812,0.1402917722692712,1.3257777091374983,0.10900659380082141
PEKAO,20,ofi,tree,5,2017-01-10,True,32354,-0.025027573495683936,0.49445764053840063,0.0,1.3257777091374983,
PEKAO,20,ofi,tree,6,2017-01-11,False,18482,0.3258937275517212,0.6912099014902753,0.1368358402770263,1.2239893186373885,0.28174908357865674
PEKAO,20,ofi,tree,6,2017-01-11,True,18482,0.05605478937775626,0.48547613033594345,0.0,1.2239893186373885,
PEKAO,20,ofi,tree,7,2017-01-12,False,37010,0.2842708323956439,0.6526507276507276,0.218886787354769,1.5318661619733982,0.12973268961840195
PEKAO,20,ofi,tree,7,2017-01-12,True,37010,0.006292709851105984,0.47458419958419956,0.0,1.5318661619733982,
PEKAO,20,ofi,tree,8,2017-01-13,False,19912,0.2553047667629668,0.6628034768708163,0.08653073523503416,1.3179444885198381,0.3358775355121747
PEKAO,20,ofi,tree,8,2017-01-13,True,19912,-0.00319558836496618,0.4683784593865521,0.0,1.3179444885198381,
PEKAO,20,ofi,tree,9,2017-01-16,False,58100,0.23325268104637553,0.6204222317966394,0.146592082616179,2.159920584973991,0.22763217249624182
PEKAO,20,ofi,tree,9,2017-01-16,True,58100,0.029783800683330326,0.539207238259371,0.0,2.159920584973991,
PEKAO,20,microprice,linear,1,2017-01-03,False,40611,0.25395456722501203,0.6519527235354573,0.22732757134766443,1.6979163618400055,-0.004302672526625938
PEKAO,20,microprice,linear,1,2017-01-03,True,40611,-0.1798920874436567,0.49655704008221996,7.387161113983896e-05,1.6979163618400055,-1.8028611790655837
PEKAO,20,microprice,linear,2,2017-01-04,False,45475,0.30210730848529344,0.6885016119235621,0.21855964815832876,1.480256932063636,0.114275464347696
PEKAO,20,microprice,linear,2,2017-01-04,True,45475,-0.05455679856248593,0.5008176423865813,0.0,1.480256932063636,
PEKAO,20,microprice,linear,3,2017-01-05,False,20681,0.32497156594541776,0.7135113020353891,0.1773608626275325,1.262496846717636,0.008936498253403313
PEKAO,20,microprice,linear,3,2017-01-05,True,20681,-0.18831367854585482,0.5052674644574,0.0,1.262496846717636,
PEKAO,20,microprice,linear,4,2017-01-09,False,41999,0.2978949584017805,0.6933400436168428,0.17900426200623826,1.1913477456356454,0.038312789849069336
PEKAO,20,microprice,linear,4,2017-01-09,True,41999,-0.08481643765594264,0.4787228093720293,0.0,1.1913477456356454,
PEKAO,20,microprice,linear,5,2017-01-10,False,32354,0.2739211358736199,0.674716283979942,0.13645917042714967,1.3257777091374983,0.08245813826743184
PEKAO,20,microprice,linear,5,2017-01-10,True,32354,0.11714523694245717,0.4948535233570863,0.0,1.3257777091374983,
PEKAO,20,microprice,linear,6,2017-01-11,False,18482,0.31680571625524107,0.6851477645870169,0.16383508278324857,1.2239893186373885,0.044694401589072626
PEKAO,20,microprice,linear,6,2017-01-11,True,18482,0.05338568565424992,0.4863601919676686,0.0,1.2239893186373885,
PEKAO,20,microprice,linear,7,2017-01-12,False,37010,0.2898790891418304,0.6530665280665281,0.2131045663334234,1.5318661619733982,0.13958352332152943
PEKAO,20,microprice,linear,7,2017-01-12,True,37010,-0.157670379724211,0.4639293139293139,0.0,1.5318661619733982,
PEKAO,20,microprice,linear,8,2017-01-13,False,19912,0.2564536897399021,0.6655010490558497,0.0866311771795902,1.3179444885198381,0.1380592539698014
PEKAO,20,microprice,linear,8,2017-01-13,True,19912,0.08834561746280695,0.46907782995304226,0.0,1.3179444885198381,
PEKAO,20,microprice,linear,9,2017-01-16,False,58100,0.24138621139415517,0.6255924170616114,0.12080895008605852,2.159920584973991,0.47991479937645937
PEKAO,20,microprice,linear,9,2017-01-16,True,58100,0.14481957203147272,0.5399150612420754,0.0,2.159920584973991,
